,MER,TOWNSHIP,RANGE,SECTION,XALB,YALB,LATITUDE,LONGITUDE,MTRS,MTR,Shape__Are,Shape__Len,GlobalID,Field1,Unique_Cro,township_r,township_1,township_2,Reporting_,Crop_Harve,Fields__n_,Commodity_,TotalN_Fer,TotalN_Fol,TotalN_Org,TotalN_Wat,TotalNAppl,N_Removed_,A_R_lbs_N_,A_R_lbs_N1,AoY_lbsN_l,TR_fixed,TR,ARRATIO,Crop_Year,Shape_Leng,Shape_Area,mean_Nitra,Point_Coun,geometry,geometric_centroids,closest_cafo_id,distance_to_cafo,number_of_cafos
10,M,28S,22E,9,35503.34589,-278757.66971,35.50748,-119.60822,M 28S 22E 09,M28S  22E,4475799.82422,8495.71024086,{3219a277-2173-4b2b-a2f7-674b749a68c4},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,8495.71024086,4475799.82768,0.23,1,"POLYGON ((808614.7096315192 3933840.867623431, 806722.1145918907 3933660.6261390047, 806693.9744802474 3935299.4516888317, 808539.7283102184 3935366.688260914, 808614.7096315192 3933840.867623431))",POINT (807631.9519332319 3934537.6372612678),,,
11,M,28S,22E,15,37148.67477,-280244.03909,35.49403,-119.59013,M 28S 22E 15,M28S  22E,3811634.90234,7843.63738543,{2a2c5859-b93c-4c1d-8429-30d3ce5c1cdb},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,7843.63738543,3811634.90406,0.23,1,"POLYGON ((808614.7096315192 3933840.867623431, 810049.9263441054 3933977.540357391, 810088.263649761 3932225.165930987, 808578.1163082165 3932164.075009009, 808614.7096315192 3933840.867623431))",POINT (809338.5274568697 3933045.0337247876),,,
12,M,29S,22E,17,33234.61452,-290058.52986,35.40582,-119.63373,M 29S 22E 17,M29S  22E,3911248.54688,7910.86213698,{c57e61b5-f560-4982-9d0e-1ead42c54bd2},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,7910.86213698,3911248.54157,13.1416666667,48,"POLYGON ((806553.8913063308 3922371.016031938, 806447.8217266375 3922367.846286527, 804936.1183397912 3922339.147645686, 804876.5406500968 3923932.9311493593, 805162.4140150184 3923942.533213455, 806392.1491272354 3923984.207636019, 806489.654826365 3923988.370980549, 806553.8913063308 3922371.016031938))",POINT (805716.0902259902 3923157.1204116517),,,
13,M,29S,22E,16,34844.31445,-290051.96533,35.40582,-119.61599,M 29S 22E 16,M29S  22E,3921263.71484,7919.41262738,{95b9e5a6-aeee-489a-a21f-b9ad6654c840},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,7919.41262738,3921263.71831,15.0111111111,18,"POLYGON ((806553.8913063308 3922371.016031938, 806489.654826365 3923988.370980549, 807673.8186379266 3924034.0363627905, 807776.8178921575 3924037.521474332, 808102.9259293077 3924048.8354085223, 808156.1166919363 3922433.5354501344, 806553.8913063308 3922371.016031938))",POINT (807325.4443352083 3923211.6680212677),,,
14,M,29S,24E,8,52559.9035,-288255.58898,35.42118,-119.42064,M 29S 24E 08,M29S  24E,3931270.83594,7925.26508433,{790f8fff-4908-44e7-bee7-c7857bcb27d6},13,Cherries,29 S 24 E,24.0,-29.0,Bearing,2023,1,64.92,3895.2,64.92,0.0,0.0,3960.12,1413.21102,2546.90898,2.8022,0.0062,M29S 24E,M29S  24E,2.8022,0,7925.26508433,3931270.83754,0.4,1,"POLYGON ((825839.2118011188 3924763.8869166025, 825341.1924011963 3924743.6316035264, 824225.9746470555 3924708.938824879, 824204.6174304939 3925520.468280613, 824197.7212944378 3925677.681224904, 824192.2691600902 3925913.209182781, 824183.5711709377 3926323.219971923, 825800.6250187363 3926373.6764019327, 825839.2118011188 3924763.8869166025))",POINT (825011.690621721 3925542.0497654425),SAN JOAQUIN VALLEY | KERN COUNTY,3622.053603352217,47.0
15,M,30S,24E,2,57404.42502,-296292.92319,35.34854,-119.36783,M 30S 24E 02,M30S  24E,3872861.44141,7884.2896062,{c91cc181-82a5-411c-89cb-ff4fb070c66e},5,Alfalfa Hay,30 S 24 E,24.0,-30.0,Bearing,2023,3,200.0,0.0,0.0,0.0,1992.0,1992.0,89103.952,-87111.952,0.0224,0.0007,M30S 24E,M30S  24E,0.0224,0,7884.2896062,3872861.4444,3.145,2,"POLYGON ((830909.2118301259 3917704.9506290182, 830939.8592683573 3916883.901316334, 829554.3590151021 3916841.9369425043, 829397.1517306572 3916833.90027554, 829366.3847233967 3916829.785537656, 829331.0617340062 3916827.382059754, 829272.0614063528 3918428.9774963455, 829338.5629825406 3918430.7561388994, 830276.4687954913 3918464.135207881, 830888.1090767719 3918483.2041654796, 830909.2118301259 3917704.9506290182))",POINT (830106.9906127247 3917658.4451795267),SAN JOAQUIN VALLEY | KERN COUNTY,4628.937877363008,47.0
16,M,28S,22E,21,35448.39116,-281972.87455,35.47853,-119.60897,M 28S 22E 21,M28S  22E,4356330.91797,8356.68294945,{4eb675a7-489c-4272-b39c-635550c9eb8d},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,8356.68294945,4356330.91118,0.0,2,"POLYGON ((806845.9023417626 3930433.653392397, 806841.1869957333 3930516.303000303, 806819.2789033435 3931038.6760688284, 806806.7978723351 3931309.0516687017, 806799.050474911 3931478.4643129897, 806772.1517262273 3932091.0070446627, 808578.1163082165 3932164.075009009, 808542.361118135 3930526.5266617183, 806845.9023417626 3930433.653392397))",POINT (807682.2114208827 3931312.231832543),,,
17,M,28S,22E,29,33780.40206,-283609.69423,35.46386,-119.62744,M 28S 22E 29,M28S  22E,3908036.23438,7899.86771458,{296277e7-04e4-4f0d-884f-c202a8624980},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,7899.86771458,3908036.23254,9.55,2,"POLYGON ((806845.9023417626 3930433.653392397, 806889.8184630916 3928842.86306403, 806226.9688754636 3928811.0706964005, 805733.0656490249 3928790.291759638, 805293.4055840559 3928781.0919967582, 805278.1660546883 3929270.534528117, 805261.6957070989 3929578.732115332, 805256.1843105196 3929815.187083482, 805227.8391883599 3930404.337677889, 806172.4186785466 3930423.9718842464, 806845.9023417626 3930433.653392397))",POINT (806062.4919205675 3929615.5555259343),,,
18,M,28S,23E,18,41934.73013,-280208.85971,35.49415,-119.53732,M 28S 23E 18,M28S  23E,4080067.67188,8081.1699839,{f120b815-0284-490b-ab14-3f34f57bee1a},2,Alfalfa Hay,28 S 23 E,23.0,-28.0,Bearing,2023,1,63.19,0.0,0.0,0.0,315.95,315.95,40154.7174,-39838.7674,0.0079,0.0002,M28S 23E,M28S  23E,0.0079,0,8081.1699839,4080067.67127,7.0365,6,"POLYGON ((814166.4023611996 3932446.7141918717, 813273.6464165354 3932353.995228016, 813274.7204747896 3933912.8185119787, 814918.0539664726 3934150.234096535, 814953.9053033758 3933682.0468048654, 814975.3653678979 3933399.1452133073, 814980.3838859999 3933326.0338906823, 814984.254367463 3933267.6091573923, 815001.4258675987 3932530.870142971, 814166.4023611996 3932446.7141918717))",POINT (814128.769103378 3933232.187909318),,,
19,M,29S,22E,19,31632.31998,-291672.80075,35.39134,-119.65146,M 29S 22E 19,M29S  22E,3973080.03516,7973.34814792,{468e6132-7085-47d1-9101-927e9b5c007e},3,Alfalfa Hay,29 S 22 E,22.0,-29.0,Bearing,2023,1,106.0,2014.0,0.0,0.0,1608.02,3622.02,41273.75,-37651.73,0.0878,0.0027,M29S 22E,M29S  22E,0.0878,0,7973.34814792,3973080.03318,3.37083333333,24,"POLYGON ((804996.967310189 3920706.3500148267, 803371.565550155 3920644.721465327, 803326.8353218639 3922270.452919182, 804936.1183397912 3922339.147645686, 804996.967310189 3920706.3500148267))",POINT (804158.5522228593 3921488.861521654),,,
20,M,28S,23E,32,43609.52666,-285041.21484,35.45057,-119.51912,M 28S 23E 32,M28S  23E,3928670.30078,7929.29531622,{ddaf30ed-603a-4a94-b80f-575cbd7e6d62},2,Alfalfa Hay,28 S 23 E,23.0,-28.0,Bearing,2023,1,63.19,0.0,0.0,0.0,315.95,315.95,40154.7174,-39838.7674,0.0079,0.0002,M28S 23E,M28S  23E,0.0079,0,7929.29531622,3928670.30467,0.099,1,"POLYGON ((816066.028190952 3927646.366617902, 815205.3102700594 3927604.5585774435, 815136.7202015856 3929262.377112957, 816701.7879840351 3929351.103803119, 816767.1601572311 3927686.0027454356, 816066.028190952 3927646.366617902))",POINT (815953.3431445424 3928475.585577225),,,
21,M,29S,24E,20,52537.4205,-291470.1841,35.39224,-119.4211,M 29S 24E 20,M29S  24E,3956710.38281,7962.31412997,{0d53806f-d25d-42e5-8094-57929b27f592},13,Cherries,29 S 24 E,24.0,-29.0,Bearing,2023,1,64.92,3895.2,64.92,0.0,0.0,3960.12,1413.21102,2546.90898,2.8022,0.0062,M29S 24E,M29S  24E,2.8022,0,7962.31412997,3956710.37915,1.35,1,"POLYGON ((825907.0935912579 3921543.9873520555, 825129.763972416 3921500.553823889, 825099.2404332994 3921500.698082438, 824319.3466914356 3921459.3403280713, 824314.6148706767 3921607.4293401637, 824288.810493439 3922289.5794948176, 824283.8678401284 3922409.5942278025, 824273.8638022632 3922687.68786444, 824259.5285503826 3923050.991675248, 824255.8263027933 3923103.1765739527, 824459.3701742527 3923112.5265640644, 824739.6170671533 3923128.06114872, 825126.4741317488 3923149.3092657328, 825495.6816332497 3923168.7117492366, 825862.4404537812 3923188.7569473293, 825886.0334470737 3922314.6918411483, 825907.0935912579 3921543.9873520555))",POINT (825086.9429222544 3922324.8148744246),SAN JOAQUIN VALLEY | KERN COUNTY,4611.092829416765,47.0
22,M,29S,24E,16,54159.95742,-289833.49051,35.40689,-119.40311,M 29S 24E 16,M29S  24E,3865224.59375,7862.45309875,{e80fa607-087f-42ae-9962-a2b25e4c360c},13,Cherries,29 S 24 E,24.0,-29.0,Bearing,2023,1,64.92,3895.2,64.92,0.0,0.0,3960.12,1413.21102,2546.90898,2.8022,0.0062,M29S 24E,M29S  24E,2.8022,0,7862.45309875,3865224.59148,7.15,2,"POLYGON ((827488.3211376916 3923249.6798667586, 827042.7905454588 3923230.140991306, 827023.8922229614 3923229.4794664476, 826725.7599819066 3923219.158760787, 826106.9097490672 3923197.586851638, 825862.4404537812 3923188.7569473293, 825839.2118011188 3924763.8869166025, 826976.1184671493 3924817.292554448, 827184.7913606775 3924827.1104253414, 827453.5970773747 3924838.2078293255, 827461.3507355206 3924454.41194609, 827469.1745655946 3924119.5411882526, 827471.6554334555 3923965.7848818223, 827474.332088847 3923807.284279979, 827480.5072195942 3923551.0123948287, 827486.6064889843 3923331.562032973, 827488.3211376916 3923249.6798667586))",POINT (826661.9617587154 3924008.973673961),SAN JOAQUIN VALLEY | KERN COUNTY,2339.5205057141075,47.0
23,M,29S,24E,21,54149.54138,-291447.33936,35.39236,-119.40334,M 29S 24E 21,M29S  24E,4026965.13672,8033.47219449,{837647bc-e197-4bfa-8897-6f3173b70680},13,Cherries,29 S 24 E,24.0,-29.0,Bearing,2023,1,64.92,3895.2,64.92,0.0,0.0,3960.12,1413.21102,2546.90898,2.8022,0.0062,M29S 24E,M29S  24E,2.8022,0,8033.47219449,4026965.14316,1.82,1,"POLYGON ((825907.0935912579 3921543.9873520555, 825886.0334470737 3922314.6918411483, 825862.4404537812 3923188.7569473293, 826106.9097490672 3923197.586851638, 826725.7599819066 3923219.158760787, 827023.8922229614 3923229.4794664476, 827042.7905454588 3923230.140991306, 827488.3211376916 3923249.6798667586, 827496.0398470375 3922984.982635667, 827544.8239655548 3921614.6569933915, 827073.0513923633 3921594.925479726, 826789.0027334103 3921583.033579874, 826422.1048572272 3921566.739725584, 825974.1128818281 3921547.5684475214, 825907.0935912579 3921543.9873520555))",POINT (826699.4580686318 3922397.7576676738),SAN JOAQUIN VALLEY | KERN COUNTY,3468.094748870008,47.0
24,M,27S,22E,13,40366.32102,-270637.78587,35.58039,-119.55413,M 27S 22E 13,M27S  22E,3946501.64844,7949.10907695,{fb73d655-6ec5-4287-8fc7-8f8c16e9cca3},0,Alfalfa Hay,27 S 22 E,22.0,-27.0,Bearing,2023,4,183.0,2196.0,0.0,0.0,2776.11,4972.11,77070.084,-72097.974,0.0645,0.002,M27S 22E,M27S  22E,0.0645,0,7949.10907695,3946501.64932,16.0,1,"POLYGON ((813094.2938314984 3942023.2020864915, 813053.5376786795 3942022.2176380274, 811472.4943406407 3941942.0449325256, 811430.4685144948 3943550.8262270926, 813070.6972085498 3943611.840145285, 813094.2938314984 3942023.2020864915))",POINT (812265.0889271282 3942783.629320439),,,
25,M,28S,22E,7,32147.84999,-278769.72812,35.50749,-119.64524,M 28S 22E 07,M28S  22E,3975492.44922,7978.22885588,{f4a3bf5a-9898-4631-8ec6-1ab5ffb5e51a},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,7978.22885588,3975492.4413,33.0,2,"POLYGON ((805126.29095615 3933619.804435756, 803496.4518840399 3933562.6415880457, 803490.3428782907 3933744.9422237435, 803472.9902823188 3934384.8507292196, 803445.7625502744 3935179.5005431925, 803727.8303160886 3935192.1712963777, 805067.0066625553 3935240.1752772247, 805117.1095340871 3933802.6717394567, 805126.29095615 3933619.804435756))",POINT (804283.9252451878 3934400.446361799),,,
26,M,29S,23E,14,47735.0015,-289896.14714,35.40666,-119.47392,M 29S 23E 14,M29S  23E,4025403.24609,8019.98390755,{607adcc4-ccc9-4e1d-85b8-9f76a1a2c050},4,Alfalfa Hay,29 S 23 E,23.0,-29.0,Bearing,2023,16,1066.01,11043.0,0.0,125.2,11550.42,22718.62,503636.4396,-480917.8196,0.0451,0.0014,M29S 23E,M29S  23E,0.0451,0,8019.98390755,4025403.25841,22.1571428571,7,"POLYGON ((821019.22427599 3924613.7660205616, 821028.9523430432 3924208.8572443747, 821032.0821299626 3923986.236580744, 821039.743155269 3923757.123002978, 821043.2386669737 3923558.8620927883, 821048.2034264861 3923370.4289967474, 821052.7215352629 3923194.017484733, 821055.2727383389 3923055.557165568, 821059.5732148031 3922970.381352426, 819447.301437008 3922891.4431632594, 819441.7197777892 3923012.6521920017, 819439.5628900076 3923072.446983641, 819428.1618796356 3923456.452466345, 819395.6815651802 3924542.409392529, 820142.6069068129 3924581.5563620105, 820207.2460280985 3924583.4757148684, 820323.1050990548 3924586.9987612427, 820405.970260189 3924590.5287483954, 820599.2211320922 3924598.0108056846, 820844.295521345 3924606.3980585104, 821019.22427599 3924613.7660205616))",POINT (820228.5284966071 3923756.7611814146),,,
27,M,28S,22E,32,33790.98379,-285209.18629,35.44946,-119.62739,M 28S 22E 32,M28S  22E,3827755.67578,7835.18354762,{1993125e-298d-4e74-ad07-5832a5db1630},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,7835.18354762,3827755.67066,0.0,4,"POLYGON ((805293.4055840559 3928781.0919967582, 805733.0656490249 3928790.291759638, 806226.9688754636 3928811.0706964005, 806889.8184630916 3928842.86306403, 806958.8760673009 3927247.599165307, 806507.9245306699 3927229.4700115295, 806382.3222967518 3927226.3306718855, 806281.6124141016 3927226.4737156243, 805358.8576596852 3927197.1777118896, 805293.4055840559 3928781.0919967582))",POINT (806126.7892429398 3928014.2979009748),,,
28,M,29S,23E,15,46134.44927,-289917.17131,35.40655,-119.49156,M 29S 23E 15,M29S  23E,3862236.19922,7867.17936317,{aee688f1-9451-4ac2-a458-0d309a5c3d7f},4,Alfalfa Hay,29 S 23 E,23.0,-29.0,Bearing,2023,16,1066.01,11043.0,0.0,125.2,11550.42,22718.62,503636.4396,-480917.8196,0.0451,0.0014,M29S 23E,M29S  23E,0.0451,0,7867.17936317,3862236.18306,0.1,1,"POLYGON ((818472.8910021601 3922847.0409534536, 817850.5318535028 3922823.9977257443, 817850.3655070837 3922980.375098057, 817844.4326769923 3923178.9963783906, 817837.3381047489 3923443.7223437005, 817830.9953033463 3923737.823690175, 817824.0675151171 3924065.194267668, 817815.7436992351 3924397.524919364, 818691.1923231191 3924477.281315842, 819011.8383791137 3924506.049122426, 819247.8660654746 3924528.6683805087, 819395.6815651802 3924542.409392529, 819428.1618796356 3923456.452466345, 819439.5628900076 3923072.446983641, 819441.7197777892 3923012.6521920017, 819447.301437008 3922891.4431632594, 819336.4502952874 3922884.4766742527, 819058.5412165395 3922873.101740346, 818809.8946883567 3922862.2623121687, 818472.8910021601 3922847.0409534536))",POINT (818633.8160956645 3923662.1161446106),,,
29,M,28S,22E,6,32143.54865,-277109.04777,35.52244,-119.64522,M 28S 22E 06,M28S  22E,4134846.75,8138.79312691,{941b35f0-2fca-4a82-bcda-2d4969a0f9d6},1,Alfalfa Hay,28 S 22 E,22.0,-28.0,Bearing,2023,17,855.35,16042.69,0.0,12582.6,9926.4895,38551.7795,371245.54425,-332693.76475,0.1038,0.0032,M28S 22E,M28S  22E,0.1038,0,8138.79312691,4134846.7555,0.0,4,"POLYGON ((803445.7625502744 3935179.5005431925, 803395.6383092157 3936869.058526646, 805010.0160383454 3936932.357030879, 805067.0066625553 3935240.1752772247, 803727.8303160886 3935192.1712963777, 803445.7625502744 3935179.5005431925))",POINT (804229.9481932165 3936055.224309498),,,
