,Unnamed: 0,index,operator_name,physical_street,physical_city,physical_county,physical_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,address,latitude,longitude
18,30,30,Robert L Silva Dairy,20508 W Cotton RD,Los Banos,Merced,93635,(209) 826-2074,09/01/1951,San Joaquin River Basin,"0083-0220-0019-0000, 0088-0081-0002-0000, 0088-0100-0070-0000, 0088-0230-0002-0000",0.0,30.0,40.0,30.0,0.0,0.0,22.0,18.0,0.0,400.0,400.0,390.0,0.0,65.0,65.0,60.0,122.0,0.0,130.0,120.0,139.0,0.0,145.0,130.0,Hoistein,75.0,748.0,13899.01,170918.24,119642.77,28327.39,75969.75,197428.5,1945000.0,1945000.0,0.0,0.0,"20508 W Cotton RD, Los Banos, CA 93635",37.0158,-120.86512
19,33,33,Hearst Road,25469 W Hearst RD,Gustine,Merced,95322,(209) 649-4967,01/01/1989,San Joaquin River Basin,"X070-X080-X041-XXXX, X070-X080-X042-XXXX, X070-X080-X045-XXXX, X070-X080-X046-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,2.0,26.3,412.0,288.4,61.4,146.18,700.8,,0.0,0.0,0.0,"25469 W Hearst RD, Gustine, CA 95322",37.14739,-120.95129
20,34,34,Blue Star Dairy,5254 Blue Gum AVE,Modesto,Stanislaus,95358,(209) 607-6455,01/01/1960,San Joaquin River Basin,X012-X031-X035-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,850.0,850.0,0.0,144.0,144.0,144.0,300.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0,Holstein,73.0,1594.0,30185.27,372205.96,260544.17,62085.59,164458.19,433335.3,15900500.0,14352000.0,0.0,1548500.0,"5254 Blue Gum AVE, Modesto, CA 95358",37.65761,-121.09474
21,35,35,Andrew Zylstra Dairy 2,7855 S Carpenter RD,Modesto,Stanislaus,95358,(209) 535-2883,12/01/1994,San Joaquin River Basin,X022-X002-X016-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,690.0,650.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,Holstein,86.0,752.0,18934.24,243635.25,170544.68,41478.02,131313.8,306052.5,12729600.0,12729600.0,0.0,0.0,"7855 S Carpenter RD, Modesto, CA 95358",37.52475,-121.03098
22,37,37,RP Feedlot (Formerly Francisco Mendonca Dairy),12467 Carpenter RD,Crows Landing,Stanislaus,95213,(209) 632-0350,01/01/1950,San Joaquin River Basin,0058-0002-0010-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,1.0,17.5,229.5,160.65,37.31,146.18,470.85,,0.0,0.0,0.0,"12467 Carpenter RD, Crows Landing, CA 95213",37.45534,-121.03397
23,40,40,Andrew Zylstra Dairy 1,2655 W Monte Vista AVE,Modesto,Stanislaus,95358,(209) 535-2883,12/01/1980,San Joaquin River Basin,"X022-X002-X016-XXXX, X022-X002-X062-XXXX, X022-X002-X063-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,1400.0,1400.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,86.0,1460.0,39433.67,514854.04,360397.83,87254.42,282829.72,672987.0,23525280.0,23525280.0,0.0,0.0,"2655 W Monte Vista AVE, Modesto, CA 95358",37.52421,-121.04104
24,43,43,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59,El Nido,Merced,95317,(209) 617-9978,01/01/1970,San Joaquin River Basin,X074-X160-X040-XXXX,75.0,0.0,100.0,75.0,0.0,0.0,0.0,0.0,0.0,905.0,972.0,905.0,0.0,145.0,150.0,145.0,415.0,0.0,425.0,415.0,295.0,0.0,300.0,295.0,Holstein,77.0,1835.0,33710.64,410913.79,287639.65,68337.99,177477.95,459462.0,29856000.0,29856000.0,0.0,0.0,"13701 S Hwy 59, El Nido, CA 95317",37.08915,-120.49897
25,44,44,Rocking S Dairy #2,2330 Ladd RD,Modesto,Stanislaus,95356,(123) 000-0000,01/01/1983,San Joaquin River Basin,X003-X022-X018-XXXX,324.0,0.0,324.0,324.0,460.0,0.0,460.0,460.0,0.0,1425.0,1425.0,1425.0,0.0,276.0,276.0,276.0,312.0,0.0,325.0,312.0,0.0,0.0,0.0,0.0,Holstein,80.0,2797.0,48355.18,619823.9,433876.73,99421.52,282262.9,734427.45,62006133.0,62006133.0,0.0,0.0,"2330 Ladd RD, Modesto, CA 95356",37.73046,-121.03839
26,46,46,Frank & Carol Borba Dairy,25381 E Dodds RD,Escalon,San Joaquin,95320,(209) 838-3483,04/01/2000,San Joaquin River Basin,X207-X15X-008X-XXXX,237.0,0.0,237.0,237.0,107.0,0.0,107.0,107.0,0.0,800.0,800.0,800.0,0.0,85.0,85.0,85.0,0.0,310.0,310.0,310.0,0.0,109.0,109.0,109.0,Jersey-Holstein Cross,60.0,1648.0,26198.6,328882.4,230217.68,53184.94,147951.38,396225.75,18634000.0,18634000.0,0.0,0.0,"25381 E Dodds RD, Escalon, CA 95320",37.85677,-120.99875
27,47,47,Five H Farms,5851 S Highway 59,Merced,Merced,95340,(209) 631-1887,09/01/1999,San Joaquin River Basin,X065-X130-X051-XXXX,300.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,2060.0,2146.0,2060.0,0.0,340.0,350.0,340.0,580.0,0.0,700.0,580.0,0.0,0.0,0.0,0.0,Holstein,78.0,3280.0,66600.12,848592.91,594015.04,140201.54,405336.37,1048134.0,46591000.0,46591000.0,0.0,0.0,"5851 S Highway 59, Merced, CA 95340",37.20123,-120.49111
28,48,48,LOCKWOOD III DAIRY,15343 TIM BELL RD,WATERFORD,Stanislaus,95386,(209) 874-9855,03/15/1974,San Joaquin River Basin,XX15-XX15-XX85-XXXX,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,495.0,495.0,495.0,70.0,0.0,70.0,70.0,175.0,0.0,175.0,175.0,195.0,0.0,195.0,195.0,Holstein,80.0,985.0,18339.33,224051.73,156836.21,37310.82,98049.22,249167.25,4698000.0,4698000.0,0.0,0.0,"15343 TIM BELL RD, WATERFORD, CA 95386",37.67387,-120.70754
29,50,50,Vitorino Dairy (Caetano Dairy Facility),9436 Griffith AVE,Delhi,Merced,95315,(209) 632-4162,01/01/1962,San Joaquin River Basin,X046-X120-X001-XXXX,0.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,635.0,635.0,635.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey-Holstein Cross,73.0,890.0,17924.89,235490.01,164843.01,38536.68,122859.94,310487.25,16758000.0,24962782.0,8204782.0,0.0,"9436 Griffith AVE, Delhi, CA 95315",37.42534,-120.81286
30,56,56,Fire-Lake Jerseys,11301 W Bradbury RD,Turlock,Stanislaus,95380,(209) 632-2924,01/01/1950,San Joaquin River Basin,"X058-X025-X004-XXXX, X058-X025-X005-XXXX",22.0,0.0,22.0,22.0,55.0,0.0,55.0,55.0,22.0,216.0,240.0,236.0,24.0,0.0,24.0,24.0,112.0,0.0,112.0,112.0,40.0,22.0,62.0,62.0,Jersey,54.0,511.0,7836.47,98182.88,68728.02,15985.03,42715.35,116639.4,6687210.0,6687210.0,0.0,0.0,"11301 W Bradbury RD, Turlock, CA 95380",37.44956,-120.97848
31,57,57,3A Teixeira,12926 N Vincent RD,Turlock,Merced,95380,(209) 968-0610,01/01/1940,San Joaquin River Basin,X041-X130-X049-XXXX,110.0,0.0,110.0,110.0,0.0,0.0,0.0,0.0,0.0,826.0,826.0,826.0,0.0,140.0,140.0,140.0,190.0,0.0,190.0,190.0,235.0,0.0,235.0,235.0,Jersey-Holstein Cross,70.0,1501.0,27630.38,348527.46,243969.22,57494.08,158186.62,421115.1,19528375.0,19528375.0,0.0,0.0,"12926 N Vincent RD, Turlock, CA 95380",37.47662,-120.77572
32,59,59,Live Oak Dairy B,21334 American AVE,Hilmar,Merced,95324,(209) 495-8821,01/01/1947,San Joaquin River Basin,X045-X170-X011-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,630.0,630.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey,50.0,720.0,15825.01,208380.27,145866.19,34383.11,112372.61,317331.0,9540000.0,9540000.0,0.0,0.0,"21334 American AVE, Hilmar, CA 95324",37.41353,-120.8738
33,62,62,River Oak Heifers,12100 Fogarty RD,Oakdale,Stanislaus,95361,(209) 324-1241,01/01/1950,San Joaquin River Basin,X010-X072-X003-XXXX,250.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,500.0,0.0,500.0,500.0,Other,1.0,1000.0,8132.17,83950.0,58765.0,12948.38,1.0,0.0,,0.0,0.0,0.0,"12100 Fogarty RD, Oakdale, CA 95361",37.75446,-120.77331
34,65,65,Vierra Dairy Farms #3,7884 Faith Home RD,Hilmar,Merced,95324,(209) 668-0343,01/01/1940,San Joaquin River Basin,X045-X190-X001-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,304.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.0,262.0,262.0,Holstein,72.0,566.0,10350.48,127752.3,89426.61,21639.73,58618.26,143138.4,8916000.0,8916000.0,0.0,0.0,"7884 Faith Home RD, Hilmar, CA 95324",37.40308,-120.9225
35,66,66,DS Farms LP,24567 E Lone Tree RD,Escalon,San Joaquin,95320,(209) 000-0000,01/01/1945,San Joaquin River Basin,"X207-X350-X100-XXXX, X229-X060-X010-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.0,834.0,834.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,Holstein,75.0,884.0,22408.41,290850.7,203595.49,49332.26,162458.39,392688.9,10620000.0,10620000.0,0.0,0.0,"24567 E Lone Tree RD, Escalon, CA 95320",37.82778,-121.00805
36,67,67,Frank Chaves and Sons Dairy #1,13080 E Harney LN,Lodi,San Joaquin,95240,(209) 368-1740,01/05/1940,San Joaquin River Basin,X063-X260-XX14-XXXX,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,470.0,470.0,470.0,0.0,90.0,90.0,90.0,140.0,0.0,140.0,140.0,150.0,0.0,150.0,150.0,Holstein,64.0,880.0,15909.29,198780.47,139146.33,32823.84,88156.6,241995.0,3588750.0,3588750.0,0.0,0.0,"13080 E Harney LN, Lodi, CA 95240",38.09821,-121.15759
37,68,68,Pearson and Coupe LLC,11096 Boessow RD,Galt,Sacramento,95632,(209) 747-4025,01/01/1950,Sacramento River Basin,0150-0071-0025-0000,16.0,0.0,16.0,16.0,13.0,0.0,13.0,13.0,0.0,160.0,160.0,160.0,35.0,0.0,35.0,35.0,38.0,0.0,38.0,38.0,38.0,0.0,38.0,38.0,Holstein,60.0,300.0,5246.81,66287.48,46401.24,10801.52,29590.28,83384.25,,0.0,0.0,0.0,"11096 Boessow RD, Galt, CA 95632",38.25321,-121.27353
38,69,69,Live Oak D Dairy,22651 W Williams RD,Hilmar,Merced,95324,(209) 656-8434,01/01/1985,San Joaquin River Basin,"0045-0240-0011-0000, 0045-0240-0029-0000, 0045-0240-0030-0000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,875.0,875.0,150.0,0.0,150.0,150.0,200.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,Jersey,60.0,1225.0,25289.03,326386.06,228470.24,54037.34,161821.82,446486.25,22230000.0,22230000.0,0.0,0.0,"22651 W Williams RD, Hilmar, CA 95324",37.38821,-120.90256
39,70,70,J & J De Raadt Dairy,6460 Smith RD,Oakdale,Stanislaus,95361,(209) 845-1572,01/01/1960,San Joaquin River Basin,X010-X017-X069-XXXX,250.0,0.0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,950.0,950.0,950.0,140.0,0.0,140.0,140.0,200.0,0.0,200.0,200.0,400.0,0.0,400.0,400.0,Other,73.0,1940.0,33415.98,418249.31,292774.52,68655.03,183806.22,479500.5,8745000.0,8745000.0,0.0,0.0,"6460 Smith RD, Oakdale, CA 95361",37.73008,-120.80726
40,71,71,David Machado (former F&S Brasil Dairy),26230 S Union RD,Manteca,San Joaquin,95337,(209) 581-1713,01/01/1940,San Joaquin River Basin,"X257-XX12-X001-XXXX, X257-XX12-X002-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,1440.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jersey-Holstein Cross,68.0,360.0,9149.52,119632.02,83742.41,20236.88,68470.28,169506.0,23724000.0,13680000.0,0.0,10044000.0,"26230 S Union RD, Manteca, CA 95337",37.71893,-121.2257
41,73,73,"Rodoni Dairy Farms, LP",18037 S Center AVE,Los Banos,Merced,93635,(209) 826-2732,01/01/1907,San Joaquin River Basin,"X083-X220-X015-XXXX, X083-X220-X022-XXXX",300.0,0.0,300.0,300.0,0.0,350.0,350.0,350.0,0.0,2100.0,2410.0,2100.0,250.0,0.0,350.0,250.0,1000.0,0.0,1000.0,1000.0,500.0,0.0,500.0,500.0,,80.0,4500.0,77113.37,957711.87,670398.31,157619.77,415966.38,1046272.5,50436000.0,50436000.0,0.0,0.0,"18037 S Center AVE, Los Banos, CA 93635",37.02713,-120.8551
42,75,75,R Doornenbal Dairy #3,19325 E Lone Tree RD,Escalon,San Joaquin,95320,(209) 838-7108,01/01/1940,San Joaquin River Basin,X205-X050-XX26-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,450.0,450.0,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,77.0,500.0,12645.65,164879.59,115415.71,27643.28,88248.7,223380.0,2454600.0,604800.0,0.0,1849800.0,"19325 E Lone Tree RD, Escalon, CA 95320",37.82893,-121.07437
43,76,76,Shaffer Dairy,5968 Eucalyptus Ave.,Winton,Merced,95388,(209) 480-2674,01/01/1960,San Joaquin River Basin,X052-X090-X019-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"5968 Eucalyptus Ave., Winton, CA 95388",37.40565,-120.5923
