,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
10,Meirinho Holsteins Inc,4890 Healy RD,Merced,Merced,95341,P.O. Box 580010,Modesto,CA,95357,(209) 578-1403,01/01/1962,San Joaquin River Basin,X066-X200-X019-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Kronberg Facility,20777 Riverside AVE,Hilmar,Stanislaus,95324,,,,,(209) 620-4520,01/01/1950,San Joaquin River Basin,"X045-X262-X001-XXXX, X045-X360-X022-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,0.0,3726000.0,3726000.0,0.0,,,,,,,,,,
12,,,,,95380,,,,,(209) 634-9055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Joe Gomes Dairy,17265 Swanson RD,Delhi,Merced,95315,,,,,(209) 652-7808,01/01/1960,San Joaquin River Basin,X046-X200-X024-XXXX,,,0,0,0,0,0,0,0,0,0,425,425,425,0,1,1,1,0,145,145,145,0,80,80,80,Holstein,70.0,651,,13142.07,164071.54,114850.08,27768.17,81391.42,200341.2,,,,,2316000.0,2316000.0,0.0,0.0,,,,,,,,,,
14,Dr. Jorge Duarte (previously Sousa Dairy),18005 Williams RD,Hilmar,Merced,95324,,,,,(209) 669-6889,01/01/1930,San Joaquin River Basin,"X045-X022-X032-XXXX, X045-X022-X036-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pearson and Coupe LLC,11096 Boessow RD,Galt,Sacramento,95632,,,,,(209) 747-4025,01/01/1950,Sacramento River Basin,0150-0071-0025-0000,,,16,0,16,16,13,0,13,13,0,160,160,160,35,0,35,35,38,0,38,38,38,0,38,38,Holstein,60.0,300,,5246.81,66287.48,46401.24,10801.52,29590.28,83384.25,,,,,,0.0,0.0,0.0,,,,,,,,,,
16,"Joe Borba Dairy, INC",3431 S Moffett RD,Turlock,Stanislaus,95380,,,,,(209) 632-5363,01/01/1970,San Joaquin River Basin,"0058-0028-0002-0000, 0058-0028-0023-0000",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,Holstein,1.0,50,,506.25,4745.0,3321.5,803.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
17,Hidden Valley Dairy,870 Kniebes RD,Gustine,Merced,95322,,,,,(209) 988-0875,01/01/1948,San Joaquin River Basin,"X054-X130-X020-XXXX, X054-X130-X027-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Dutch Door Dairy,3493 BVD RD,Merced,Merced,95341,,,,,(209) 648-2166,01/01/1940,San Joaquin River Basin,X066-X170-X012-XXXX,,,0,0,0,0,0,0,0,0,0,600,620,600,55,0,80,55,0,0,0,0,0,0,0,0,Holstein,86.0,655,,17316.98,225996.38,158197.47,38100.24,121212.74,295157.25,,,,,6675000.0,6675000.0,0.0,0.0,,,,,,,,,,
19,,,,,95360,,,,,(209) 862-1812,,,0026-0025-0033-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Barcellos Dairy,2892 N Gurr RD,Atwater,Merced,95301,,,,,(209) 000-0000,01/01/1950,San Joaquin River Basin,X005-X210-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Joe O. Rocha Dairy, Inc.",18451 W Bradbury RD,Turlock,Merced,95380,,,,,(209) 668-2780,01/01/1971,San Joaquin River Basin,"X045-X009-X005-XXXX, X045-X009-X007-XXXX, X045-X009-X009-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Antonio Belo Dairy,25115 Clark Ave.,Orland,Tehama,95963,,,,,(530) 865-1789,01/26/1985,Sacramento River Basin,0091-0200-0001-0000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
23,Duarte Family Dairy,11711 Bruceville RD,Elk Grove,Sacramento,95758,,,,,(916) 684-8834,01/01/1966,Sacramento River Basin,X132-X240-X068-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Carlos and Deolinda Lopes Trust,17273 W Cotton Gin RD,Los Banos,Merced,93635,,,,,(209) 704-8163,01/01/1940,San Joaquin River Basin,X088-X180-X053-XXXX,,,145,0,150,145,55,0,60,55,0,590,600,590,0,50,55,50,215,0,220,215,195,0,200,195,Holstein,70.0,1250,,20539.5,256128.26,179289.78,42010.72,112990.44,289299.0,,,,,6808320.0,6808320.0,0.0,0.0,,,,,,,,,,
25,5N Cattle,28470 W Cottonwood RD,Gustine,Merced,95322,,,,,(209) 854-1273,01/01/1990,San Joaquin River Basin,"X063-X250-X033-XXXX, X063-X250-X048-XXXX, X063-X250-X049-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,75,70,0,1130,1140,1130,Holstein,1.0,1200,,11222.06,113880.0,79716.0,19272.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
26,Vieira Dairy Farm,9701 Atwater Jordan Road,Atwater,Merced,95301,P.O. Box 516,Atwater,CA,95301,(209) 261-6868,08/14/1998,San Joaquin River Basin,0056-0010-0067-0000,,,0,0,0,0,0,0,0,0,0,891,1150,891,0,99,180,99,0,0,0,0,0,0,0,0,Holstein,70.0,990,,24301.93,316891.17,221823.82,52973.96,170634.72,442292.4,,,,,27936000.0,27936000.0,0.0,0.0,,,,,,,,,,
27,Antonio Azevedo Dairy #1,2025 W El Nido RD,El Nido,Merced,95317,,,,,(209) 723-3056,01/01/1950,San Joaquin River Basin,X074-X110-X022-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Van Exel Dairy #3,7406 W Cotta RD,Lodi,San Joaquin,95242,,,,,(209) 334-3292,01/01/1950,San Joaquin River Basin,X025-X100-XX06-XXXX,,,0,0,0,0,0,0,0,0,0,375,375,375,0,0,0,0,0,0,0,0,600,0,600,600,Holstein,77.0,975,,15708.65,186735.49,130714.84,31668.32,73540.59,176568.75,,,,,17010000.0,17010000.0,0.0,0.0,,,,,,,,,,
29,De Jager Farms South,8002 S Bliss RD,Chowchilla,Merced,93610,P.O. Box 877,Chowchilla,CA,93610,(209) 384-8275,12/12/1989,San Joaquin River Basin,X075-X100-X021-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
31,"Rodoni Dairy Farms, LP",18037 S Center AVE,Los Banos,Merced,93635,,,,,(209) 826-2732,01/01/1907,San Joaquin River Basin,"X083-X220-X015-XXXX, X083-X220-X022-XXXX",,,300,0,300,300,0,350,350,350,0,2100,2410,2100,250,0,350,250,1000,0,1000,1000,500,0,500,500,Holstein,80.0,4500,,77113.37,957711.87,670398.31,157619.77,415966.38,1046272.5,,,,,45574500.0,42012000.0,0.0,3562500.0,,,,,,,,,,
32,A& M de Sousa Dairy,3030 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 632-5845,01/01/1920,San Joaquin River Basin,"0058-0017-0005-0000, 0058-0017-0006-0000",,,280,0,280,280,25,0,25,25,0,1200,1200,1200,290,0,290,290,210,0,210,210,430,0,430,430,Jersey-Holstein Cross,80.0,2435,,43759.88,550116.14,385081.3,89885.76,237695.07,631705.5,,,,,94801489.0,94801489.0,0.0,0.0,,,,,,,,,,
33,Fred A Douma Dairy,28524 S Kasson RD,Tracy,San Joaquin,95304,,,,,(209) 904-9327,01/01/1996,San Joaquin River Basin,X241-X380-XX02-XXXX,,,203,0,228,203,0,0,0,0,0,2772,2793,2772,0,404,416,404,222,0,233,222,0,0,0,0,Holstein,75.0,3601,,81669.76,1056112.35,739278.65,175329.91,539969.6,1398096.0,,,,,55839881.0,55839881.0,0.0,0.0,,,,,,,,,,
34,Xavier Grow,22368 W 2nd AVE,Stevinson,Merced,95374,P.O. Box 126,Stevinson,CA,95374,(209) 564-1140,10/31/1952,San Joaquin River Basin,X55X-X11X-X63X-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,700,700,Other,1.0,700,,7317.49,66430.0,46501.0,11242.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
35,Manuel Mendes Dairy (Golden M),29744 Cottonwood RD,Gustine,Merced,95322,,,,,(209) 854-9108,01/01/1950,San Joaquin River Basin,"X063-X250-X008-XXXX, X063-X250-X030-XXXX",,,0,0,0,0,0,100,120,100,0,600,600,600,0,90,90,90,200,0,200,200,0,0,0,0,Holstein,72.0,990,,19350.7,243584.41,170509.09,40146.72,115693.94,303205.5,,,,,32346000.0,31776000.0,0.0,570000.0,,,,,,,,,,
36,Haringa Dairy,14842 E Keyes RD,Denair,Stanislaus,95316,P.O. Box 943,Denair,CA,95316,(209) 874-2250,04/15/1992,San Joaquin River Basin,X019-X041-X043-XXXX,,,100,0,146,100,0,0,0,0,0,1627,1642,1627,251,0,292,251,250,0,380,250,175,0,266,175,Holstein,75.0,2403,,51176.94,649396.25,454577.38,107906.23,316930.21,823790.4,,,,,85957500.0,85957500.0,0.0,0.0,,,,,,,,,,
37,Meikle Dairy,1685 S Hart RD,Modesto,Stanislaus,95358,,,,,(209) 529-2206,07/01/1950,San Joaquin River Basin,X017-X002-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DeSnayer Dairy,23243 N Rond RD,Lodi,San Joaquin,95242,,,,,(209) 327-6140,01/01/1945,San Joaquin River Basin,X011-X050-XX08-XXXX,,,275,0,275,275,240,0,240,240,0,1580,1580,1580,0,300,300,300,0,300,300,300,300,0,300,300,Holstein,94.0,2995,,57384.96,726093.78,508265.65,119131.87,327498.02,812928.0,,,,,25560000.0,25560000.0,0.0,0.0,,,,,,,,,,
39,Nyman Brothers Dairy,20445 August AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1907,San Joaquin River Basin,"0015-0001-0037-0000, 0045-0014-0018-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Bar Mac Dairy,5070 S Hunt RD,Gustine,Merced,95322,,,,,(209) 854-1273,06/01/2003,San Joaquin River Basin,X063-X230-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,93620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Nunes Dairy,1730 S Healy RD,Merced,Merced,95340,,,,,(209) 384-0948,01/01/1955,San Joaquin River Basin,X066-X270-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Double Creek Dairy,1320 S Arboleda DR,Merced,Merced,95340,P.O. Box 2128,Merced,CA,95344,(209) 769-2813,01/01/1970,San Joaquin River Basin,0067-0030-0015-0000,,,564,0,580,560,402,0,450,400,0,1650,1680,1650,175,0,200,175,769,0,800,770,736,0,750,740,Holstein,80.0,4295,,64996.68,802988.25,562091.78,130274.13,326830.72,817143.75,,,,,37423125.0,37423125.0,0.0,0.0,,,,,,,,,,
44,"Borba Cattle Company, LP",18254 N First AVE,Stevinson,Merced,95374,,,,,(209) 541-7001,05/01/2004,San Joaquin River Basin,X055-X130-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6-X Dairy,9848 Milnes RD,Modesto,Stanislaus,95357,P.O. Box 12290,Oakdale,CA,95361,(209) 595-6858,01/01/1990,San Joaquin River Basin,X015-X003-X016-XXXX,,,0,0,0,0,0,0,0,0,0,1650,1650,1650,0,225,225,225,0,10,10,10,0,0,0,0,Other,70.0,1885,,45624.9,595388.66,416772.06,99264.28,315990.22,828641.25,,,,,25056000.0,25056000.0,0.0,0.0,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Manuel & Jeannette Borges Dairy #2,17463 E Gawne RD,Stockton,San Joaquin,95215,,,,,(209) 838-1828,01/01/1952,Sacramento River Basin,X183-X100-XX16-XXXX,,,0,20,20,20,0,50,50,50,270,0,270,270,40,0,40,40,115,0,115,115,115,0,115,115,Jersey-Holstein Cross,55.0,610,,9665.92,117042.06,81929.44,19097.67,49046.64,136327.5,,,,,5480000.0,5480000.0,0.0,0.0,,,,,,,,,,
48,Van Exel Dairy #1 & #2,20002 N Thornton RD,Lodi,San Joaquin,95242,,,,,(209) 334-3292,01/01/1930,San Joaquin River Basin,"X011-X090-XX19-XXXX, X011-X100-XX13-XXXX, X011-X140-XX10-XXXX, X011-X140-XX23-XXXX, X011-X150-XX04-XXXX, X011-X150-XX17-XXXX, X025-X110-XX19-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Live Oak Dairy E,8450 S Hwy 33,Gustine,Merced,95322,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1920,San Joaquin River Basin,X070-X030-X021-XXXX,,,150,0,150,150,0,0,0,0,0,1000,1000,1000,0,200,200,200,375,0,375,375,375,0,375,375,Jersey,70.0,2100,,36379.56,450720.1,315504.07,74182.86,191509.23,516840.0,,,,,22776000.0,22776000.0,0.0,0.0,,,,,,,,,,
50,ORNELLAS,20246 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1945,San Joaquin River Basin,X212-X030-XX25-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Parkview Dairy,13640 Collier RD,Delhi,Merced,95315,,,,,(559) 909-9571,01/01/1950,San Joaquin River Basin,X046-X240-X050-XXXX,,,0,0,0,0,0,0,0,0,0,1600,1600,1550,0,250,250,230,1000,0,1000,1000,400,0,400,400,Holstein,87.0,3180,,60617.09,735107.18,514575.03,123464.86,314151.25,782706.0,,,,,47040000.0,47040000.0,0.0,0.0,,,,,,,,,,
52,"CMC Jerseys, LLC (Formerly Seward Farms)",23204 Bloss AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,01/01/1945,San Joaquin River Basin,X045-X180-X047-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Azevedo Dairy #2,7618 Highway 59,El Nido,Merced,95317,,,,,(209) 723-0562,01/01/1982,San Joaquin River Basin,X075-X010-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,John Zylstra Dairy,3307 S Blaker RD,Turlock,Stanislaus,95380,,,,,(123) 000-0000,01/01/1970,San Joaquin River Basin,"X058-X026-X001-XXXX, X058-X026-X005-XXXX, X058-X026-X006-XXXX, X058-X027-X013-XXXX",,,15,0,15,15,35,0,35,35,0,250,250,250,20,0,20,20,30,0,30,30,50,0,50,50,Holstein,64.0,400,,7462.07,95340.33,66738.23,15718.52,46891.81,122311.5,,,,,4150800.0,4150800.0,0.0,0.0,,,,,,,,,,
55,Hendrix Dairy,2901 W Keyes RD,Modesto,Stanislaus,95358,,,,,(209) 485-3375,01/01/1978,San Joaquin River Basin,0017-0053-0005-0000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
56,Double L & N Dairy,28471 W Hulen RD,Gustine,Merced,95322,,,,,(209) 564-1053,01/01/1979,San Joaquin River Basin,X070-X060-X025-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CDF Hilmar (Formerly River Rock Ranches LLC),18128 American AVE,Hilmar,Merced,95324,P.O. Box 2717,Merced,CA,95344,(209) 285-0001,01/01/1956,San Joaquin River Basin,X045-X160-X065-XXXX,,,133,0,150,133,0,0,0,0,0,1244,1280,1244,212,0,220,212,393,0,400,393,366,0,400,366,Jersey,60.0,2348,,40627.5,515639.56,360947.69,84898.96,230064.4,634486.8,,,,,21870000.0,21870000.0,0.0,0.0,,,,,,,,,,
58,,,,,26750,,,,,,,,X049-X035-X002-XXXX,,,0,0,0,730,0,0,0,,0,0,0,1702,0,0,0,1598,,0,,,,0,1702,730,,,4760,,31573.85,313170.0,219219.0,52998.0,0.0,,,,,,,,,,,,,,,,,,,
59,Dasilva Dairy Farms LLC #3,24197 E Mariposa RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,04/01/1993,San Joaquin River Basin,X207-X180-X005-XXXX,,,0,0,0,0,0,0,0,0,0,425,425,425,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,76.0,425,,11202.98,146449.42,102514.59,24850.05,83066.77,200111.25,,,,,16848000.0,16848000.0,0.0,0.0,,,,,,,,,,
60,Michael Brasil Dairy #2,4971 Van Clief RD,Stevinson,Merced,95374,,,,,(209) 595-2547,04/01/1935,San Joaquin River Basin,"X055-X008-X005-XXXX, X055-X008-X009-XXXX, X055-X008-X012-XXXX, X055-X008-X030-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
61,Joe & Teresa Soares Dairy #2,7581 N Merced AVE,Delhi,Merced,95315,P.O. Box 189,Delhi,CA,95315,(209) 652-2990,01/01/1980,San Joaquin River Basin,"X047-X010-X022-XXXX, X047-X010-X023-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,John Vieira Partnership,22075 Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 838-3904,01/01/1960,San Joaquin River Basin,0205-0230-0090-0000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,110,110,70,0,70,70,Holstein,1.0,180,,1723.96,17082.0,11957.4,2890.8,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
63,P&D Dairy,28209 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1995,San Joaquin River Basin,X070-X060-X038-XXXX,,,0,0,0,0,0,0,0,0,200,0,250,220,10,0,10,10,35,0,35,35,375,0,375,375,Holstein,77.0,640,,7519.41,96202.83,67341.98,16073.39,49027.06,105886.5,,,,,46080000.0,46080000.0,0.0,0.0,,,,,,,,,,
64,Machado Dairy,7413 S Mitchell RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,01/01/1970,San Joaquin River Basin,"0057-0007-0005-0000, 0057-0007-0006-0000, 0057-0023-0004-0000",,,0,0,0,0,0,50,50,50,0,1300,1300,1300,0,50,50,50,0,40,40,40,0,0,0,0,Holstein,80.0,1440,,36160.75,471418.11,329992.68,79506.64,257502.99,623602.5,,,,,37890000.0,17250000.0,0.0,20640000.0,,,,,,,,,,
65,Ackerman Dairy Inc,6942 S Central AVE,Ceres,Stanislaus,95307,,,,,(209) 538-9110,01/01/1982,San Joaquin River Basin,"X022-X013-X019-XXXX, X041-X052-X023-XXXX, X041-X052-X024-XXXX",,,150,0,150,150,0,150,150,150,0,1200,1300,1200,0,200,310,200,240,240,480,480,0,0,0,0,Holstein,63.0,2180,,38414.5,486948.66,340864.06,79374.23,224292.27,611010.0,,,,,15246000.0,15246000.0,0.0,0.0,,,,,,,,,,
66,S.A.S Dairy #2,12712 W. Bradbury RD,Turlock,Stanislaus,95380,P.O. Box 459,Hilmar,CA,95324,(209) 632-2924,01/01/1930,San Joaquin River Basin,X057-X002-X016-XXXX,,,50,0,50,50,95,0,95,95,440,0,440,440,60,0,60,60,55,0,55,55,45,0,45,45,Holstein,51.0,745,,12592.91,162588.66,113812.06,26198.87,78771.54,220971.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
67,Verissimo Dairy Facility,6125 S Central RD,Turlock,Stanislaus,95380,,,,,(209) 632-6464,01/01/1950,San Joaquin River Basin,X057-X005-X010-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,0,208,208,208,0,0,0,0,Holstein,1.0,271,,3026.48,31236.7,21865.69,4858.15,1.0,14486.85,,,,,,0.0,0.0,0.0,,,,,,,,,,
