,index,Unnamed: 0,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,address,latitude,longitude
22,22,22,Antonio Belo Dairy,25115 Clark Ave.,Orland,Tehama,95963,,,,,(530) 865-1789,01/26/1985,Sacramento River Basin,0091-0200-0001-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"25115 Clark Ave., Orland, CA 95963",39.82407,-122.10007
24,24,24,Carlos and Deolinda Lopes Trust,17273 W Cotton Gin RD,Los Banos,Merced,93635,,,,,(209) 704-8163,01/01/1940,San Joaquin River Basin,X088-X180-X053-XXXX,145.0,0.0,150.0,145.0,55.0,0.0,60.0,55.0,0.0,590.0,600.0,590.0,0.0,50.0,55.0,50.0,215.0,0.0,220.0,215.0,195.0,0.0,200.0,195.0,Holstein,70.0,1250.0,20539.5,256128.26,179289.78,42010.72,112990.44,289299.0,6808320.0,6808320.0,0.0,0.0,"17273 W Cotton Gin RD, Los Banos, CA 93635",36.95435,-120.80572
25,25,25,5N Cattle,28470 W Cottonwood RD,Gustine,Merced,95322,,,,,(209) 854-1273,01/01/1990,San Joaquin River Basin,"X063-X250-X033-XXXX, X063-X250-X048-XXXX, X063-X250-X049-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,75.0,70.0,0.0,1130.0,1140.0,1130.0,Holstein,1.0,1200.0,11222.06,113880.0,79716.0,19272.0,1.0,0.0,,0.0,0.0,0.0,"28470 W Cottonwood RD, Gustine, CA 95322",37.18935,-121.00342
26,26,26,Vieira Dairy Farm,9701 Atwater Jordan Road,Atwater,Merced,95301,P.O. Box 516,Atwater,CA,95301,(209) 261-6868,08/14/1998,San Joaquin River Basin,0056-0010-0067-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,1150.0,891.0,0.0,99.0,180.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,70.0,990.0,24301.93,316891.17,221823.82,52973.96,170634.72,442292.4,27936000.0,27936000.0,0.0,0.0,"9701 Atwater Jordan Road, Atwater, CA 95301",37.331,-120.66221
28,28,28,Van Exel Dairy #3,7406 W Cotta RD,Lodi,San Joaquin,95242,,,,,(209) 334-3292,01/01/1950,San Joaquin River Basin,X025-X100-XX06-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,375.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,600.0,Holstein,77.0,975.0,15708.65,186735.49,130714.84,31668.32,73540.59,176568.75,17010000.0,17010000.0,0.0,0.0,"7406 W Cotta RD, Lodi, CA 95242",38.13309,-121.40407
31,31,31,"Rodoni Dairy Farms, LP",18037 S Center AVE,Los Banos,Merced,93635,,,,,(209) 826-2732,01/01/1907,San Joaquin River Basin,"X083-X220-X015-XXXX, X083-X220-X022-XXXX",300.0,0.0,300.0,300.0,0.0,350.0,350.0,350.0,0.0,2100.0,2410.0,2100.0,250.0,0.0,350.0,250.0,1000.0,0.0,1000.0,1000.0,500.0,0.0,500.0,500.0,Holstein,80.0,4500.0,77113.37,957711.87,670398.31,157619.77,415966.38,1046272.5,45574500.0,42012000.0,0.0,3562500.0,"18037 S Center AVE, Los Banos, CA 93635",37.02713,-120.8551
32,32,32,A& M de Sousa Dairy,3030 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 632-5845,01/01/1920,San Joaquin River Basin,"0058-0017-0005-0000, 0058-0017-0006-0000",280.0,0.0,280.0,280.0,25.0,0.0,25.0,25.0,0.0,1200.0,1200.0,1200.0,290.0,0.0,290.0,290.0,210.0,0.0,210.0,210.0,430.0,0.0,430.0,430.0,Jersey-Holstein Cross,80.0,2435.0,43759.88,550116.14,385081.3,89885.76,237695.07,631705.5,94801489.0,94801489.0,0.0,0.0,"3030 S Central AVE, Turlock, CA 95380",37.46523,-120.95795
33,33,33,Fred A Douma Dairy,28524 S Kasson RD,Tracy,San Joaquin,95304,,,,,(209) 904-9327,01/01/1996,San Joaquin River Basin,X241-X380-XX02-XXXX,203.0,0.0,228.0,203.0,0.0,0.0,0.0,0.0,0.0,2772.0,2793.0,2772.0,0.0,404.0,416.0,404.0,222.0,0.0,233.0,222.0,0.0,0.0,0.0,0.0,Holstein,75.0,3601.0,81669.76,1056112.35,739278.65,175329.91,539969.6,1398096.0,55839881.0,55839881.0,0.0,0.0,"28524 S Kasson RD, Tracy, CA 95304",37.69953,-121.30036
34,34,34,Xavier Grow,22368 W 2nd AVE,Stevinson,Merced,95374,P.O. Box 126,Stevinson,CA,95374,(209) 564-1140,10/31/1952,San Joaquin River Basin,X55X-X11X-X63X-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,700.0,700.0,Other,1.0,700.0,7317.49,66430.0,46501.0,11242.0,1.0,0.0,,0.0,0.0,0.0,"22368 W 2nd AVE, Stevinson, CA 95374",37.33693,-120.89299
35,35,35,Manuel Mendes Dairy (Golden M),29744 Cottonwood RD,Gustine,Merced,95322,,,,,(209) 854-9108,01/01/1950,San Joaquin River Basin,"X063-X250-X008-XXXX, X063-X250-X030-XXXX",0.0,0.0,0.0,0.0,0.0,100.0,120.0,100.0,0.0,600.0,600.0,600.0,0.0,90.0,90.0,90.0,200.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,Holstein,72.0,990.0,19350.7,243584.41,170509.09,40146.72,115693.94,303205.5,32346000.0,31776000.0,0.0,570000.0,"29744 Cottonwood RD, Gustine, CA 95322",37.18975,-121.02613
36,36,36,Haringa Dairy,14842 E Keyes RD,Denair,Stanislaus,95316,P.O. Box 943,Denair,CA,95316,(209) 874-2250,04/15/1992,San Joaquin River Basin,X019-X041-X043-XXXX,100.0,0.0,146.0,100.0,0.0,0.0,0.0,0.0,0.0,1627.0,1642.0,1627.0,251.0,0.0,292.0,251.0,250.0,0.0,380.0,250.0,175.0,0.0,266.0,175.0,Holstein,75.0,2403.0,51176.94,649396.25,454577.38,107906.23,316930.21,823790.4,85957500.0,85957500.0,0.0,0.0,"14842 E Keyes RD, Denair, CA 95316",37.54633,-120.72474
38,38,38,DeSnayer Dairy,23243 N Rond RD,Lodi,San Joaquin,95242,,,,,(209) 327-6140,01/01/1945,San Joaquin River Basin,X011-X050-XX08-XXXX,275.0,0.0,275.0,275.0,240.0,0.0,240.0,240.0,0.0,1580.0,1580.0,1580.0,0.0,300.0,300.0,300.0,0.0,300.0,300.0,300.0,300.0,0.0,300.0,300.0,Holstein,94.0,2995.0,57384.96,726093.78,508265.65,119131.87,327498.02,812928.0,25560000.0,25560000.0,0.0,0.0,"23243 N Rond RD, Lodi, CA 95242",38.19845,-121.41761
43,43,43,Double Creek Dairy,1320 S Arboleda DR,Merced,Merced,95340,P.O. Box 2128,Merced,CA,95344,(209) 769-2813,01/01/1970,San Joaquin River Basin,0067-0030-0015-0000,564.0,0.0,580.0,560.0,402.0,0.0,450.0,400.0,0.0,1650.0,1680.0,1650.0,175.0,0.0,200.0,175.0,769.0,0.0,800.0,770.0,736.0,0.0,750.0,740.0,Holstein,80.0,4295.0,64996.68,802988.25,562091.78,130274.13,326830.72,817143.75,37423125.0,37423125.0,0.0,0.0,"1320 S Arboleda DR, Merced, CA 95340",37.26969,-120.37048
45,45,45,6-X Dairy,9848 Milnes RD,Modesto,Stanislaus,95357,P.O. Box 12290,Oakdale,CA,95361,(209) 595-6858,01/01/1990,San Joaquin River Basin,X015-X003-X016-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,1650.0,1650.0,0.0,225.0,225.0,225.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,Other,70.0,1885.0,45624.9,595388.66,416772.06,99264.28,315990.22,828641.25,25056000.0,25056000.0,0.0,0.0,"9848 Milnes RD, Modesto, CA 95357",37.676,-120.81654
47,47,47,Manuel & Jeannette Borges Dairy #2,17463 E Gawne RD,Stockton,San Joaquin,95215,,,,,(209) 838-1828,01/01/1952,Sacramento River Basin,X183-X100-XX16-XXXX,0.0,20.0,20.0,20.0,0.0,50.0,50.0,50.0,270.0,0.0,270.0,270.0,40.0,0.0,40.0,40.0,115.0,0.0,115.0,115.0,115.0,0.0,115.0,115.0,Jersey-Holstein Cross,55.0,610.0,9665.92,117042.06,81929.44,19097.67,49046.64,136327.5,5480000.0,5480000.0,0.0,0.0,"17463 E Gawne RD, Stockton, CA 95215",37.89559,-121.09905
49,49,49,Live Oak Dairy E,8450 S Hwy 33,Gustine,Merced,95322,P.O. Box 1331,Hilmar,CA,95324,(209) 495-8821,01/01/1920,San Joaquin River Basin,X070-X030-X021-XXXX,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,200.0,200.0,200.0,375.0,0.0,375.0,375.0,375.0,0.0,375.0,375.0,Jersey,70.0,2100.0,36379.56,450720.1,315504.07,74182.86,191509.23,516840.0,22776000.0,22776000.0,0.0,0.0,"8450 S Hwy 33, Gustine, CA 95322",37.16465,-121.00529
51,51,51,Parkview Dairy,13640 Collier RD,Delhi,Merced,95315,,,,,(559) 909-9571,01/01/1950,San Joaquin River Basin,X046-X240-X050-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,1600.0,1550.0,0.0,250.0,250.0,230.0,1000.0,0.0,1000.0,1000.0,400.0,0.0,400.0,400.0,Holstein,87.0,3180.0,60617.09,735107.18,514575.03,123464.86,314151.25,782706.0,47040000.0,47040000.0,0.0,0.0,"13640 Collier RD, Delhi, CA 95315",37.41252,-120.73601
54,54,54,John Zylstra Dairy,3307 S Blaker RD,Turlock,Stanislaus,95380,,,,,(123) 000-0000,01/01/1970,San Joaquin River Basin,"X058-X026-X001-XXXX, X058-X026-X005-XXXX, X058-X026-X006-XXXX, X058-X027-X013-XXXX",15.0,0.0,15.0,15.0,35.0,0.0,35.0,35.0,0.0,250.0,250.0,250.0,20.0,0.0,20.0,20.0,30.0,0.0,30.0,30.0,50.0,0.0,50.0,50.0,Holstein,64.0,400.0,7462.07,95340.33,66738.23,15718.52,46891.81,122311.5,4150800.0,4150800.0,0.0,0.0,"3307 S Blaker RD, Turlock, CA 95380",37.46091,-120.96948
55,55,55,Hendrix Dairy,2901 W Keyes RD,Modesto,Stanislaus,95358,,,,,(209) 485-3375,01/01/1978,San Joaquin River Basin,0017-0053-0005-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"2901 W Keyes RD, Modesto, CA 95358",37.55327,-121.04689
57,57,57,CDF Hilmar (Formerly River Rock Ranches LLC),18128 American AVE,Hilmar,Merced,95324,P.O. Box 2717,Merced,CA,95344,(209) 285-0001,01/01/1956,San Joaquin River Basin,X045-X160-X065-XXXX,133.0,0.0,150.0,133.0,0.0,0.0,0.0,0.0,0.0,1244.0,1280.0,1244.0,212.0,0.0,220.0,212.0,393.0,0.0,400.0,393.0,366.0,0.0,400.0,366.0,Jersey,60.0,2348.0,40627.5,515639.56,360947.69,84898.96,230064.4,634486.8,21870000.0,21870000.0,0.0,0.0,"18128 American AVE, Hilmar, CA 95324",37.4115,-120.81573
59,59,59,Dasilva Dairy Farms LLC #3,24197 E Mariposa RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,04/01/1993,San Joaquin River Basin,X207-X180-X005-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,425.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,76.0,425.0,11202.98,146449.42,102514.59,24850.05,83066.77,200111.25,16848000.0,16848000.0,0.0,0.0,"24197 E Mariposa RD, Escalon, CA 95320",37.84338,-121.01065
60,60,60,Michael Brasil Dairy #2,4971 Van Clief RD,Stevinson,Merced,95374,,,,,(209) 595-2547,04/01/1935,San Joaquin River Basin,"X055-X008-X005-XXXX, X055-X008-X009-XXXX, X055-X008-X012-XXXX, X055-X008-X030-XXXX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Holstein,1.0,,1.0,1.0,0.7,1.0,1.0,0.0,,0.0,0.0,0.0,"4971 Van Clief RD, Stevinson, CA 95374",37.35993,-120.83265
62,62,62,John Vieira Partnership,22075 Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 838-3904,01/01/1960,San Joaquin River Basin,0205-0230-0090-0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,110.0,110.0,70.0,0.0,70.0,70.0,Holstein,1.0,180.0,1723.96,17082.0,11957.4,2890.8,1.0,0.0,,0.0,0.0,0.0,"22075 Lone Tree RD, Escalon, CA 95320",37.83086,-121.0384
63,63,63,P&D Dairy,28209 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1995,San Joaquin River Basin,X070-X060-X038-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,250.0,220.0,10.0,0.0,10.0,10.0,35.0,0.0,35.0,35.0,375.0,0.0,375.0,375.0,Holstein,77.0,640.0,7519.41,96202.83,67341.98,16073.39,49027.06,105886.5,46080000.0,46080000.0,0.0,0.0,"28209 Husman RD, Gustine, CA 95322",37.15757,-120.99965
64,64,64,Machado Dairy,7413 S Mitchell RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,01/01/1970,San Joaquin River Basin,"0057-0007-0005-0000, 0057-0007-0006-0000, 0057-0023-0004-0000",0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,1300.0,1300.0,1300.0,0.0,50.0,50.0,50.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,Holstein,80.0,1440.0,36160.75,471418.11,329992.68,79506.64,257502.99,623602.5,37890000.0,17250000.0,0.0,20640000.0,"7413 S Mitchell RD, Turlock, CA 95380",37.42495,-120.94389
65,65,65,Ackerman Dairy Inc,6942 S Central AVE,Ceres,Stanislaus,95307,,,,,(209) 538-9110,01/01/1982,San Joaquin River Basin,"X022-X013-X019-XXXX, X041-X052-X023-XXXX, X041-X052-X024-XXXX",150.0,0.0,150.0,150.0,0.0,150.0,150.0,150.0,0.0,1200.0,1300.0,1200.0,0.0,200.0,310.0,200.0,240.0,240.0,480.0,480.0,0.0,0.0,0.0,0.0,Holstein,63.0,2180.0,38414.5,486948.66,340864.06,79374.23,224292.27,611010.0,15246000.0,15246000.0,0.0,0.0,"6942 S Central AVE, Ceres, CA 95307",37.53743,-120.95646
66,66,66,S.A.S Dairy #2,12712 W. Bradbury RD,Turlock,Stanislaus,95380,P.O. Box 459,Hilmar,CA,95324,(209) 632-2924,01/01/1930,San Joaquin River Basin,X057-X002-X016-XXXX,50.0,0.0,50.0,50.0,95.0,0.0,95.0,95.0,440.0,0.0,440.0,440.0,60.0,0.0,60.0,60.0,55.0,0.0,55.0,55.0,45.0,0.0,45.0,45.0,Holstein,51.0,745.0,12592.91,162588.66,113812.06,26198.87,78771.54,220971.0,,0.0,0.0,0.0,"12712 W. Bradbury RD, Turlock, CA 95380",37.44923,-120.99375
67,67,67,Verissimo Dairy Facility,6125 S Central RD,Turlock,Stanislaus,95380,,,,,(209) 632-6464,01/01/1950,San Joaquin River Basin,X057-X005-X010-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,208.0,208.0,208.0,0.0,0.0,0.0,0.0,Holstein,1.0,271.0,3026.48,31236.7,21865.69,4858.15,1.0,14486.85,,0.0,0.0,0.0,"6125 S Central RD, Turlock, CA 95380",37.43095,-120.9678
71,71,71,Furtado Farms Inc.,3449 Paradise RD,Modesto,Stanislaus,95358,,,,,(209) 544-8416,01/01/1950,San Joaquin River Basin,"X007-X010-X007-XXXX, X017-X010-X028-XXXX, X017-X010-X029-XXXX",150.0,0.0,150.0,150.0,230.0,0.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,200.0,212.0,212.0,0.0,50.0,50.0,50.0,Holstein,1.0,642.0,3972.39,44281.8,30997.26,5580.85,1.0,0.0,4471500.0,2106000.0,0.0,2365500.0,"3449 Paradise RD, Modesto, CA 95358",37.60953,-121.05723
74,74,74,Mendes Facility,8116 County Road 39,Glenn,Glenn,95943,,,,,(530) 409-1163,01/01/2000,Sacramento River Basin,0019-0040-0022-0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,Other,1.0,125.0,1307.05,14052.5,9836.75,2208.25,15000.0,5748.75,,0.0,0.0,0.0,"8116 County Road 39, Glenn, CA 95943",39.58497,-122.01372
79,79,79,Couco Creek Dairy Inc.,3303 S Washington RD,Turlock,Stanislaus,95380,,,,,(209) 761-9322,06/01/1961,San Joaquin River Basin,"X044-X039-X001-XXXX, X044-X039-X002-XXXX, X044-X040-X041-XXXX",0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,3050.0,3050.0,3050.0,0.0,437.0,437.0,437.0,0.0,750.0,750.0,750.0,0.0,1000.0,1000.0,1000.0,Holstein,75.0,5737.0,104889.66,1317687.32,922381.12,217914.19,594122.39,1536580.65,21105000.0,21105000.0,0.0,0.0,"3303 S Washington RD, Turlock, CA 95380",37.46137,-120.90789
84,84,84,Nunes Heifers,2618 E Reilly RD,Merced,Merced,95340,,,,,(209) 658-6162,01/01/1955,San Joaquin River Basin,X066-X250-X017-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,260.0,260.0,160.0,160.0,320.0,320.0,Holstein,1.0,580.0,5619.59,55042.0,38529.4,9314.8,1.0,0.0,,0.0,0.0,0.0,"2618 E Reilly RD, Merced, CA 95340",37.25826,-120.44054
85,85,85,P&D Dairy North,28366 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1945,San Joaquin River Basin,X070-X030-X020-XXXX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,378.0,378.0,400.0,0.0,500.0,450.0,400.0,0.0,500.0,450.0,Holstein,1.0,1278.0,5226.78,47450.0,33215.0,8030.0,1.0,86921.1,27800640.0,27800640.0,0.0,0.0,"28366 Husman RD, Gustine, CA 95322",37.15953,-121.0024
