operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention
F&S Brasil #2,6052 Trahern RD,Manteca,San Joaquin,95337,,,,,(209) 678-0903,01/01/1930,San Joaquin River Basin,X257-X110-XX16-XXXX,,,24,0,100,24,18,0,90,18,72,0,240,72,69,0,229,69,72,0,250,72,54,0,200,54,Jersey-Holstein Cross,65.0,309,,4177.58,50291.06,35203.74,7823.97,13552.14,49767.75,,,,,,0.0,0.0,0.0,,,,,,,,,,
"Nutcher Farms, LLC",5213 West Grayson RD,Modesto,Stanislaus,95358,P.O. Box 268,Denair,CA,95316,(209) 652-5185,01/01/1960,San Joaquin River Basin,"X017-X050-X004-XXXX, X017-X050-X005-XXXX",,,0,0,0,0,0,0,0,0,0,700,700,700,0,59,59,59,360,0,360,360,253,0,253,253,Holstein,80.0,1372,,25803.22,314448.49,220113.94,52985.59,138655.46,343162.05,,,,,29415000.0,29415000.0,0.0,0.0,,,,,,,,,,
B & J Dairy,9950 Arno RD,Galt,Sacramento,95632,,,,,(209) 745-2520,01/01/1958,Sacramento River Basin,X148-X020-X035-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe & Teresa Soares Dairy #2,7581 N Merced AVE,Delhi,Merced,95315,P.O. Box 189,Delhi,CA,95315,(209) 652-2990,01/01/1980,San Joaquin River Basin,"X047-X010-X022-XXXX, X047-X010-X023-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Santos,5672 S Whitworth RD,Gustine,Merced,95322,,,,,(209) 968-7832,01/01/1960,San Joaquin River Basin,"X063-X240-X006-XXXX, X063-X240-X007-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & M Azevedo Dairy,5454 W Keyes RD,Modesto,Stanislaus,95358,,,,,(209) 531-9959,01/01/1938,San Joaquin River Basin,0017-0061-0008-0000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Kronberg Facility,20777 Riverside AVE,Hilmar,Stanislaus,95324,,,,,(209) 620-4520,01/01/1950,San Joaquin River Basin,"X045-X262-X001-XXXX, X045-X360-X022-XXXX",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,,,1.0,1.0,0.7,1.0,1.0,0.0,,,,,3.0,9109997.0,9110000.0,0.0,,,,,,,,,,
P&D Dairy North,28366 Husman RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1945,San Joaquin River Basin,X070-X030-X020-XXXX,,,0,0,0,0,0,0,0,0,0,0,0,0,0,378,378,378,400,0,500,450,400,0,500,450,Holstein,1.0,1278,,13746.42,154395.0,108076.5,23560.02,1.0,86921.1,,,,,17115360.0,17115360.0,0.0,0.0,,,,,,,,,,
Alamo Farms,5000 W Keyes RD,Modesto,Stanislaus,95358,P.O. Box 99,Keyes,CA,95328,(209) 667-5735,12/15/2001,San Joaquin River Basin,X017-X061-X009-XXXX,,,0,0,0,0,0,0,0,0,0,2750,2750,2750,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,72.0,2750,,71191.05,930734.8,651514.36,157690.84,530263.87,1294837.5,,,,,61102140.0,0.0,0.0,61102140.0,,,,,,,,,,
Bartelink Dairy,12637 Van Allen RD,Escalon,San Joaquin,95320,,,,,(209) 838-3916,03/01/1983,San Joaquin River Basin,X205-X130-XX13-XXXX,,,100,0,100,100,90,0,90,90,0,785,785,785,0,75,75,75,300,0,300,300,250,0,250,250,Holstein,74.0,1600,,27715.61,343683.08,240578.16,56782.85,152397.72,386863.5,,,,,12708000.0,12708000.0,0.0,0.0,,,,,,,,,,
Furtado Farms Inc.,3449 Paradise RD,Modesto,Stanislaus,95358,,,,,(209) 544-8416,01/01/1950,San Joaquin River Basin,"X007-X010-X007-XXXX, X017-X010-X028-XXXX, X017-X010-X029-XXXX",,,150,0,150,150,220,0,230,220,0,0,0,0,0,0,0,0,10,185,200,195,0,45,50,45,Holstein,1.0,610,,3715.45,41683.0,29178.1,5191.4,1.0,0.0,,,,,567000.0,567000.0,0.0,0.0,,,,,,,,,,
"Gold Medal Ag, LLC #2",20326 Johnson AVE,Hilmar,Merced,95324,P.O. Box 1210,Hilmar,CA,95324,(209) 652-4066,01/01/1970,San Joaquin River Basin,0045-0100-0060-0000,,,0,0,0,0,0,0,0,0,0,400,400,400,50,0,50,50,0,0,0,0,0,0,0,0,Jersey,60.0,450,,10428.48,137139.2,95997.44,22787.05,73975.69,199837.5,,,,,6311000.0,2433500.0,0.0,3877500.0,,,,,,,,,,
"Soares Dairy Farms, Inc.",14515 S Badger Flat RD,Los Banos,Merced,93635,,,,,(209) 826-3414,12/01/1978,San Joaquin River Basin,X081-X080-X020-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Cross #3,11071 Youngstown RD,Turlock,Merced,95380,,,,,(209) 668-0807,07/01/1970,San Joaquin River Basin,"X041-X060-X015-XXXX, X041-X060-X017-XXXX",,,0,0,0,0,0,0,0,0,0,402,402,402,0,0,0,0,149,0,149,149,0,0,0,0,Jersey-Holstein Cross,64.0,551,,11486.79,145261.78,101683.25,24537.1,75402.03,189281.7,,,,,6331500.0,6331500.0,0.0,0.0,,,,,,,,,,
Alamo Dairy,1500 Fulkerth RD,Crows Landing,Stanislaus,95313,P.O. Box 99,Keyes,CA,95328,(209) 667-5735,01/01/1980,San Joaquin River Basin,"X022-X033-X007-XXXX, X022-X033-X022-XXXX, XO22-X035-X012-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Jager Farms South,8002 S Bliss RD,Chowchilla,Merced,93610,P.O. Box 877,Chowchilla,CA,93610,(209) 384-8275,12/12/1989,San Joaquin River Basin,X075-X100-X021-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goedhart Dairy,7084 County Road 31,Orland,Glenn,95963,,,,,(530) 514-8463,03/26/1996,Sacramento,"0023-0240-0014-0009, 0023-0240-0015-0009, 0023-0240-0016-0009, 0029-0130-0005-0000",,,250,0,250,250,250,0,250,250,0,1300,1300,1300,0,200,200,200,500,0,500,500,500,0,500,500,Holstein,83.0,3000,,50207.32,618876.5,433213.55,101264.18,260065.29,658095.0,,,,,28320000.0,28320000.0,0.0,0.0,,,,,,,,,,
Carlos C. Lourenco Dairy,6557 Oak AVE,Merced,Merced,95340,,,,,(209) 495-8654,10/01/1995,San Joaquin River Basin,0056-0200-0018-0000,,,0,235,241,235,0,0,0,0,0,1090,1110,1090,0,150,162,150,0,310,322,310,0,275,283,275,Holstein,68.0,2060,,36598.65,457119.19,319983.43,75130.54,207312.8,547719.0,,,,,31932000.0,31932000.0,0.0,0.0,,,,,,,,,,
J-D Brasil Dairy,5600 Clayton RD,Turlock,Stanislaus,95380,,,,,(209) 652-4724,06/01/1999,San Joaquin River Basin,X044-X002-X014-XXXX,,,0,0,0,0,0,0,0,0,0,365,365,365,0,15,15,15,0,60,60,60,0,0,0,0,Holstein,85.0,440,,10832.92,139246.4,97472.48,23593.6,73497.94,175309.5,,,,,6752000.0,2910000.0,0.0,3842000.0,,,,,,,,,,
Veldhuis North Dairy,12465 Lee RD,Ballico,Merced,95303,,,,,(209) 394-5117,06/01/2005,San Joaquin River Basin,"X042-X050-X038-XXXX, X042-X050-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert L Silva Dairy,20508 W Cotton RD,Los Banos,Merced,93635,,,,,(209) 826-2074,09/01/1951,San Joaquin River Basin,"0083-0220-0019-0000, 0088-0081-0002-0000, 0088-0100-0070-0000, 0088-0230-0002-0000",,,0,30,40,30,0,0,22,18,0,400,400,390,0,65,65,60,122,0,130,120,139,0,145,130,Hoistein,75.0,748,,13899.01,170918.24,119642.77,28327.39,75969.75,197428.5,,,,,1945000.0,1945000.0,0.0,0.0,,,,,,,,,,
"Frank Gwerder Dairy, Inc.",1007 S Hart RD,Modesto,Stanislaus,95358,,,,,(209) 579-5723,02/01/1964,San Joaquin River Basin,"X012-X050-X005-XXXX, X012-X051-X011-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Melo Dairy,1319 S Quinley AVE,Merced,Merced,95340,,,,,(209) 388-9677,01/01/1945,San Joaquin River Basin,"X065-X020-X031-XXXX, X065-X070-X045-XXXX, X065-X070-X046-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearst Road,25469 W Hearst RD,Gustine,Merced,95322,,,,,(209) 649-4967,01/01/1989,San Joaquin River Basin,"X070-X080-X041-XXXX, X070-X080-X042-XXXX, X070-X080-X045-XXXX, X070-X080-X046-XXXX",,,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Holstein,1.0,2,,26.3,412.0,288.4,61.4,146.18,700.8,,,,,,0.0,0.0,0.0,,,,,,,,,,
Blue Star Dairy,5254 Blue Gum AVE,Modesto,Stanislaus,95358,,,,,(209) 607-6455,01/01/1960,San Joaquin River Basin,X012-X031-X035-XXXX,,,0,0,0,0,0,0,0,0,0,850,850,850,0,144,144,144,300,0,300,300,300,0,300,300,Holstein,73.0,1594,,30185.27,372205.96,260544.17,62085.59,164458.19,433335.3,,,,,15900500.0,14352000.0,0.0,1548500.0,,,,,,,,,,
Andrew Zylstra Dairy 2,7855 S Carpenter RD,Modesto,Stanislaus,95358,,,,,(209) 535-2883,12/01/1994,San Joaquin River Basin,X022-X002-X016-XXXX,,,0,0,0,0,0,0,0,0,0,650,690,650,0,0,0,0,102,0,102,102,0,0,0,0,Holstein,86.0,752,,18934.24,243635.25,170544.68,41478.02,131313.8,306052.5,,,,,12729600.0,12729600.0,0.0,0.0,,,,,,,,,,
Soares Dairy LP,9201 Hilmar RD,Turlock,Stanislaus,95380,,,,,(209) 613-5977,11/01/1992,San Joaquin River Basin,X057-X008-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP Feedlot (Formerly Francisco Mendonca Dairy),12467 Carpenter RD,Crows Landing,Stanislaus,95213,,,,,(209) 632-0350,01/01/1950,San Joaquin River Basin,0058-0002-0010-0000,,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Holstein,1.0,1,,17.5,229.5,160.65,37.31,146.18,470.85,,,,,,0.0,0.0,0.0,,,,,,,,,,
Diniz Dairy,9558 Columbus AVE,Hilmar,Merced,95324,,,,,(209) 595-2446,01/01/1950,San Joaquin River Basin,X045-X140-X023-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durrer Dairy,8861 Beckwith RD,Modesto,Stanislaus,95358,,,,,(209) 545-1731,03/01/1980,San Joaquin River Basin,0012-0020-0011-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Zylstra Dairy 1,2655 W Monte Vista AVE,Modesto,Stanislaus,95358,,,,,(209) 535-2883,12/01/1980,San Joaquin River Basin,"X022-X002-X016-XXXX, X022-X002-X062-XXXX, X022-X002-X063-XXXX",,,0,0,0,0,0,0,0,0,0,1400,1400,1400,60,0,60,60,0,0,0,0,0,0,0,0,Holstein,86.0,1460,,39433.67,514854.04,360397.83,87254.42,282829.72,672987.0,,,,,23525280.0,23525280.0,0.0,0.0,,,,,,,,,,
Kooistra Dairy,5837 Hultberg RD,Turlock,Stanislaus,95380,,,,,(209) 632-2311,05/01/1980,San Joaquin River Basin,"X045-X013-X026-XXXX, X057-X017-X005-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Dairy,8988 W Meadow DR,Winton,Merced,95388,,,,,(209) 769-5775,05/10/1945,San Joaquin River Basin,"0140-0030-0012-0000, 0140-0120-0019-0000, 0140-0150-0011-0000, 0140-0160-0026-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59,El Nido,Merced,95317,,,,,(209) 617-9978,01/01/1970,San Joaquin River Basin,X074-X160-X040-XXXX,,,75,0,100,75,0,0,0,0,0,905,972,905,0,145,150,145,415,0,425,415,295,0,300,295,Holstein,77.0,1835,,33710.64,410913.79,287639.65,68337.99,177477.95,459462.0,,,,,29856000.0,29856000.0,0.0,0.0,,,,,,,,,,
Rocking S Dairy #2,2330 Ladd RD,Modesto,Stanislaus,95356,,,,,(123) 000-0000,01/01/1983,San Joaquin River Basin,X003-X022-X018-XXXX,,,324,0,324,324,460,0,460,460,0,1425,1425,1425,0,276,276,276,312,0,325,312,0,0,0,0,Holstein,80.0,2797,,48355.18,619823.9,433876.73,99421.52,282262.9,734427.45,,,,,62006133.0,62006133.0,0.0,0.0,,,,,,,,,,
WATTS FARMS (Formerly Desperado Dairy),11601 Simmerhorn Road,Galt,Sacramento,95632,,,,,(209) 748-5637,01/01/1964,San Joaquin River Basin,X152-X190-X059-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank & Carol Borba Dairy,25381 E Dodds RD,Escalon,San Joaquin,95320,,,,,(209) 838-3483,04/01/2000,San Joaquin River Basin,X207-X15X-008X-XXXX,,,237,0,237,237,107,0,107,107,0,800,800,800,0,85,85,85,0,310,310,310,0,109,109,109,Jersey-Holstein Cross,60.0,1648,,26198.6,328882.4,230217.68,53184.94,147951.38,396225.75,,,,,18634000.0,18634000.0,0.0,0.0,,,,,,,,,,
Five H Farms,5851 S Highway 59,Merced,Merced,95340,,,,,(209) 631-1887,09/01/1999,San Joaquin River Basin,X065-X130-X051-XXXX,,,300,0,300,300,0,0,0,0,0,2060,2146,2060,0,340,350,340,580,0,700,580,0,0,0,0,Holstein,78.0,3280,,66600.12,848592.91,594015.04,140201.54,405336.37,1048134.0,,,,,46591000.0,46591000.0,0.0,0.0,,,,,,,,,,
LOCKWOOD III DAIRY,15343 TIM BELL RD,WATERFORD,Stanislaus,95386,P.O. Box 235,WATERFORD,CA,95386,(209) 874-9855,03/15/1974,San Joaquin River Basin,XX15-XX15-XX85-XXXX,,,50,0,50,50,0,0,0,0,0,495,495,495,70,0,70,70,175,0,175,175,195,0,195,195,Holstein,80.0,985,,18339.33,224051.73,156836.21,37310.82,98049.22,249167.25,,,,,4698000.0,4698000.0,0.0,0.0,,,,,,,,,,
Brazil/ Van Ryn Dairy Farm LLC,18338 E Mariposa RD,Stockton,San Joaquin,95215,P.O. Box 159,Ripon,CA,95366,(209) 886-1061,09/01/2004,San Joaquin River Basin,X205-X020-XX03-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitorino Dairy (Caetano Dairy Facility),9436 Griffith AVE,Delhi,Merced,95315,,,,,(209) 632-4162,01/01/1962,San Joaquin River Basin,X046-X120-X001-XXXX,,,0,205,205,205,0,0,0,0,0,635,635,635,0,50,50,50,0,0,0,0,0,0,0,0,Jersey-Holstein Cross,73.0,890,,17924.89,235490.01,164843.01,38536.68,122859.94,310487.25,,,,,16758000.0,24962782.0,8204782.0,0.0,,,,,,,,,,
Pinheiro and Deniz Dairy,2630 County Road T,Glenn,Glenn,95943,,,,,(530) 934-4420,01/01/1946,Sacramento River Basin,"0019-0150-0012-0000, 0019-0150-0013-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Godinho Dairy,12710 S Wilson RD,Los Banos,Merced,93635,,,,,(209) 826-2517,01/09/1990,San Joaquin River Basin,"X070-X180-X028-XXXX, X070-X180-X044-XXXX, X070-X180-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Correia Dairy #2 (Previusly Matos Dairy Farms - Franklin Facility),1912 Franklin Rd,Merced,Merced,95340,,,,,(209) 201-1520,09/17/1984,San Joaquin River Basin,"X057-X039-X034-XXXX, X215-X080-X010-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borba Cattle Company, LP",18254 N First AVE,Stevinson,Merced,95374,,,,,(209) 541-7001,05/01/2004,San Joaquin River Basin,X055-X130-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORNELLAS DAIRY,20634 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1940,San Joaquin River Basin,X212-X030-XX08-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire-Lake Jerseys,11301 W Bradbury RD,Turlock,Stanislaus,95380,P.O. Box 459,Hilmar,CA,95324,(209) 632-2924,01/01/1950,San Joaquin River Basin,"X058-X025-X004-XXXX, X058-X025-X005-XXXX",,,22,0,22,22,55,0,55,55,22,216,240,236,24,0,24,24,112,0,112,112,40,22,62,62,Jersey,54.0,511,,7836.47,98182.88,68728.02,15985.03,42715.35,116639.4,,,,,6687210.0,6687210.0,0.0,0.0,,,,,,,,,,
3A Teixeira,12926 N Vincent RD,Turlock,Merced,95380,,,,,(209) 968-0610,01/01/1940,San Joaquin River Basin,X041-X130-X049-XXXX,,,110,0,110,110,0,0,0,0,0,826,826,826,0,140,140,140,190,0,190,190,235,0,235,235,Jersey-Holstein Cross,70.0,1501,,27630.38,348527.46,243969.22,57494.08,158186.62,421115.1,,,,,19528375.0,19528375.0,0.0,0.0,,,,,,,,,,
MTSJ Dairy LP,6916 County Road 30,Orland,Glenn,95963,,,,,(530) 519-0965,07/10/1998,Sacramento River Basin,0024-0050-0010-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak Dairy B,21334 American AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,65324,(209) 495-8821,01/01/1947,San Joaquin River Basin,X045-X170-X011-XXXX,,,0,0,0,0,0,0,0,0,630,0,630,630,90,0,90,90,0,0,0,0,0,0,0,0,Jersey,50.0,720,,15825.01,208380.27,145866.19,34383.11,112372.61,317331.0,,,,,9540000.0,9540000.0,0.0,0.0,,,,,,,,,,
Kruppa-Plett Facility,18851 E Clausen RD,Turlock,Merced,95380,P.O. Box 2717,Merced,CA,95344,(209) 383-6036,01/01/1935,San Joaquin River Basin,0041-0006-0001-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Vieira Livestock,3800 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 531-4156,08/15/1968,San Joaquin River Basin,X058-X028-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Oak Heifers,12100 Fogarty RD,Oakdale,Stanislaus,95361,P.O. Box 294,Farmington,CA,95320,(209) 324-1241,01/01/1950,San Joaquin River Basin,X010-X072-X003-XXXX,,,250,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,250,0,250,250,500,0,500,500,Other,1.0,1000,,8132.17,83950.0,58765.0,12948.38,1.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,
Gilbert Teixeira Dairy,5601 Mountain View RD,Turlock,Stanislaus,95382,,,,,(209) 634-4500,05/25/1981,San Joaquin River Basin,"0045-0052-0023-0000, 0045-0054-0011-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoekstra Dairy,10836 Hwy 120,Oakdale,Stanislaus,95361,,,,,(209) 847-5872,01/01/1940,San Joaquin River Basin,X010-X022-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vierra Dairy Farms #3,7884 Faith Home RD,Hilmar,Merced,95324,P.O. Box 1350,Hilmar,CA,95324,(209) 668-0343,01/01/1940,San Joaquin River Basin,X045-X190-X001-XXXX,,,0,0,0,0,0,0,0,0,0,304,304,304,0,0,0,0,0,0,0,0,262,0,262,262,Holstein,72.0,566,,10350.48,127752.3,89426.61,21639.73,58618.26,143138.4,,,,,8916000.0,8916000.0,0.0,0.0,,,,,,,,,,
