,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention,address,latitude,longitude
25,De Jager Farms South,8002 S Bliss RD,Chowchilla,Merced,93610,P.O. Box 877,Chowchilla,CA,93610.0,(209) 384-8275,12/12/1989,San Joaquin River Basin,X075-X100-X021-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8002 S Bliss RD, Chowchilla, CA 93610",37.16022,-120.38292
29,Veldhuis North Dairy,12465 Lee RD,Ballico,Merced,95303,,,,,(209) 394-5117,06/01/2005,San Joaquin River Basin,"X042-X050-X038-XXXX, X042-X050-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12465 Lee RD, Ballico, CA 95303",37.46607,-120.65698
31,"Frank Gwerder Dairy, Inc.",1007 S Hart RD,Modesto,Stanislaus,95358,,,,,(209) 579-5723,02/01/1964,San Joaquin River Basin,"X012-X050-X005-XXXX, X012-X051-X011-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1007 S Hart RD, Modesto, CA 95358",37.6286,-121.12695
32,Fred Melo Dairy,1319 S Quinley AVE,Merced,Merced,95340,,,,,(209) 388-9677,01/01/1945,San Joaquin River Basin,"X065-X020-X031-XXXX, X065-X070-X045-XXXX, X065-X070-X046-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1319 S Quinley AVE, Merced, CA 95340",37.26881,-120.59747
36,Soares Dairy LP,9201 Hilmar RD,Turlock,Stanislaus,95380,,,,,(209) 613-5977,11/01/1992,San Joaquin River Basin,X057-X008-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9201 Hilmar RD, Turlock, CA 95380",37.42859,-120.95059
38,Diniz Dairy,9558 Columbus AVE,Hilmar,Merced,95324,,,,,(209) 595-2446,01/01/1950,San Joaquin River Basin,X045-X140-X023-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9558 Columbus AVE, Hilmar, CA 95324",37.42714,-120.86721
39,Durrer Dairy,8861 Beckwith RD,Modesto,Stanislaus,95358,,,,,(209) 545-1731,03/01/1980,San Joaquin River Basin,0012-0020-0011-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8861 Beckwith RD, Modesto, CA 95358",37.68599,-121.1492
41,Kooistra Dairy,5837 Hultberg RD,Turlock,Stanislaus,95380,,,,,(209) 632-2311,05/01/1980,San Joaquin River Basin,"X045-X013-X026-XXXX, X057-X017-X005-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5837 Hultberg RD, Turlock, CA 95380",37.43814,-120.89741
42,Terra Dairy,8988 W Meadow DR,Winton,Merced,95388,,,,,(209) 769-5775,05/10/1945,San Joaquin River Basin,"0140-0030-0012-0000, 0140-0120-0019-0000, 0140-0150-0011-0000, 0140-0160-0026-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8988 W Meadow DR, Winton, CA 95388",37.42983,-120.64846
45,WATTS FARMS (Formerly Desperado Dairy),11601 Simmerhorn Road,Galt,Sacramento,95632,,,,,(209) 748-5637,01/01/1964,San Joaquin River Basin,X152-X190-X059-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11601 Simmerhorn Road, Galt, CA 95632",38.26387,-121.2494
49,Brazil/ Van Ryn Dairy Farm LLC,18338 E Mariposa RD,Stockton,San Joaquin,95215,P.O. Box 159,Ripon,CA,95366.0,(209) 886-1061,09/01/2004,San Joaquin River Basin,X205-X020-XX03-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18338 E Mariposa RD, Stockton, CA 95215",37.87614,-121.08256
51,Pinheiro and Deniz Dairy,2630 County Road T,Glenn,Glenn,95943,,,,,(530) 934-4420,01/01/1946,Sacramento River Basin,"0019-0150-0012-0000, 0019-0150-0013-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2630 County Road T, Glenn, CA 95943",39.59232,-122.08646
52,Godinho Dairy,12710 S Wilson RD,Los Banos,Merced,93635,,,,,(209) 826-2517,01/09/1990,San Joaquin River Basin,"X070-X180-X028-XXXX, X070-X180-X044-XXXX, X070-X180-X045-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12710 S Wilson RD, Los Banos, CA 93635",37.10573,-120.87058
53,Luis Correia Dairy #2 (Previusly Matos Dairy Farms - Franklin Facility),1912 Franklin Rd,Merced,Merced,95340,,,,,(209) 201-1520,09/17/1984,San Joaquin River Basin,"X057-X039-X034-XXXX, X215-X080-X010-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1912 Franklin Rd, Merced, CA 95340",37.3161,-120.54053
54,"Borba Cattle Company, LP",18254 N First AVE,Stevinson,Merced,95374,,,,,(209) 541-7001,05/01/2004,San Joaquin River Basin,X055-X130-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18254 N First AVE, Stevinson, CA 95374",37.34393,-120.83146
55,ORNELLAS DAIRY,20634 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1940,San Joaquin River Basin,X212-X030-XX08-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20634 S LAMMERS RD, TRACY, CA 95304",37.77115,-121.47513
58,MTSJ Dairy LP,6916 County Road 30,Orland,Glenn,95963,,,,,(530) 519-0965,07/10/1998,Sacramento River Basin,0024-0050-0010-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6916 County Road 30, Orland, CA 95963",39.65647,-122.15014
60,Kruppa-Plett Facility,18851 E Clausen RD,Turlock,Merced,95380,P.O. Box 2717,Merced,CA,95344.0,(209) 383-6036,01/01/1935,San Joaquin River Basin,0041-0006-0001-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,"18851 E Clausen RD, Turlock, CA 95380",37.45502,-120.82872
61,Vieira Livestock,3800 S Central AVE,Turlock,Stanislaus,95380,,,,,(209) 531-4156,08/15/1968,San Joaquin River Basin,X058-X028-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3800 S Central AVE, Turlock, CA 95380",37.45829,-120.95581
63,Gilbert Teixeira Dairy,5601 Mountain View RD,Turlock,Stanislaus,95382,,,,,(209) 634-4500,05/25/1981,San Joaquin River Basin,"0045-0052-0023-0000, 0045-0054-0011-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5601 Mountain View RD, Turlock, CA 95382",37.54581,-120.88142
64,Hoekstra Dairy,10836 Hwy 120,Oakdale,Stanislaus,95361,,,,,(209) 847-5872,01/01/1940,San Joaquin River Basin,X010-X022-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10836 Hwy 120, Oakdale, CA 95361",37.77269,-120.79514
72,Antonio Azevedo Dairy #1,2025 W El Nido RD,El Nido,Merced,95317,,,,,(209) 723-3056,01/01/1950,San Joaquin River Basin,X074-X110-X022-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2025 W El Nido RD, El Nido, CA 95317",37.12836,-120.54247
74,,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,"nan, nan, CA 96002",40.49125,-122.28651
85,Van Exel Dairy #2,18948 N Thornton RD,Lodi,San Joaquin,95242,,,,,(209) 334-3290,01/01/1975,San Joaquin River Basin,"X011-X150-XX04-XXXX, X011-X150-XX17-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18948 N Thornton RD, Lodi, CA 95242",38.15647,-121.39857
103,John Silveira Dairy,27890 W Brazo RD,Newman,Merced,95360,P.O. Box 400,Gustine,CA,95322.0,(209) 587-1796,01/01/1920,San Joaquin River Basin,X054-X060-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27890 W Brazo RD, Newman, CA 95360",37.30469,-120.99394
107,Meikle Dairy,1685 S Hart RD,Modesto,Stanislaus,95358,,,,,(209) 529-2206,07/01/1950,San Joaquin River Basin,X017-X002-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1685 S Hart RD, Modesto, CA 95358",37.61436,-121.12625
109,JDL Dairy,22495 W China Camp RD,Los Banos,Merced,93635,P.O. Box 2253,Los Banos,CA,93635.0,(209) 481-4424,01/01/1979,San Joaquin River Basin,X070-X160-X037-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22495 W China Camp RD, Los Banos, CA 93635",37.11435,-120.89828
110,Hidden Valley Dairy,870 Kniebes RD,Gustine,Merced,95322,,,,,(209) 988-0875,01/01/1948,San Joaquin River Basin,"X054-X130-X020-XXXX, X054-X130-X027-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"870 Kniebes RD, Gustine, CA 95322",37.27686,-120.98538
111,"Soares Dairy Farms, Inc. (Pioneer Dairy)",21948 Pioneer RD,Los Banos,Merced,93635,,,,,(209) 826-3414,01/01/1952,San Joaquin River Basin,0083-0030-0063-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21948 Pioneer RD, Los Banos, CA 93635",37.04243,-120.88864
114,Dan Perry,1008 N Verduga RD,Turlock,Stanislaus,95380,,,,,(209) 620-3622,01/01/1932,San Joaquin River Basin,X024-X038-X016-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1008 N Verduga RD, Turlock, CA 95380",37.50241,-120.80759
117,Meirinho Holsteins Inc,4890 Healy RD,Merced,Merced,95341,P.O. Box 580010,Modesto,CA,95357.0,(209) 578-1403,01/01/1962,San Joaquin River Basin,X066-X200-X019-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4890 Healy RD, Merced, CA 95341",37.21563,-120.43239
118,DD Silveira & Son Dairy #2,22484 W China Camp RD,Los Banos,Merced,93635,P.O. Box 2350,Los Banos,CA,93635.0,(209) 826-1817,01/01/1981,San Joaquin River Basin,X070-X170-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22484 W China Camp RD, Los Banos, CA 93635",37.11497,-120.89733
123,Gentle Breezes Dairy,4419 S Faith Home RD,Turlock,Stanislaus,95380,,,,,(209) 678-6851,01/01/1974,San Joaquin River Basin,"X058-X031-X003-XXXX, X058-X031-X021-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4419 S Faith Home RD, Turlock, CA 95380",37.45134,-120.92409
124,Rock-Shar Dairy,3025 E Sandy Mush RD,Merced,Merced,95340,,,,,(559) 805-7201,01/01/1999,San Joaquin River Basin,"X075-X020-X002-XXXX, X075-X020-X003-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3025 E Sandy Mush RD, Merced, CA 95340",37.1781,-120.43518
127,Double L & N Dairy,28471 W Hulen RD,Gustine,Merced,95322,,,,,(209) 564-1053,01/01/1979,San Joaquin River Basin,X070-X060-X025-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28471 W Hulen RD, Gustine, CA 95322",37.15117,-121.00454
130,Azevedo Dairy #2,7618 Highway 59,El Nido,Merced,95317,,,,,(209) 723-0562,01/01/1982,San Joaquin River Basin,X075-X010-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7618 Highway 59, El Nido, CA 95317",37.17905,-120.49167
137,Rosa Dairy Farms,3105 N Trindade AVE,Atwater,Merced,95301,,,,,(209) 564-2242,01/01/1950,San Joaquin River Basin,"X005-X150-X002-XXXX, X005-X210-X002-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3105 N Trindade AVE, Atwater, CA 95301",37.33252,-120.55318
140,Silva Dairy Farms,1499 N Edminster RD,Stevinson,Merced,95374,,,,,(209) 652-6582,01/01/1915,San Joaquin River Basin,X055-X210-X049-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1499 N Edminster RD, Stevinson, CA 95374",37.3096,-120.89624
141,Alves Farms,2439 County Road V,Glenn,Glenn,95943,,,,,(530) 934-4182,06/01/1983,Sacramento River Basin,0019-0160-0030-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2439 County Road V, Glenn, CA 95943",39.57365,-122.06752
144,Joe Meirinho and Son Dairy,3354 W Whitmore Ave,Modesto,Stanislaus,95358,,,,,(209) 538-8284,01/01/1980,San Joaquin River Basin,X017-X044-X016-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3354 W Whitmore Ave, Modesto, CA 95358",37.59003,-121.06076
146,B-6 Dairy,22014 Turner AVE,Hilmar,Merced,95324,,,,,(209) 656-9942,01/01/1960,San Joaquin River Basin,X045-X200-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22014 Turner AVE, Hilmar, CA 95324",37.37214,-120.88756
148,Fanelli Dairy-Heifers,23839 W Bloss AVE,Hilmar,Merced,95324,,,,,(209) 678-2858,01/01/1960,San Joaquin River Basin,"X045-X190-X058-XXXX, X045-X190-X070-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23839 W Bloss AVE, Hilmar, CA 95324",37.40441,-120.91876
155,ORNELLAS DAIRY 3,20246 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1945,San Joaquin River Basin,X212-X030-XX25-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20246 S LAMMERS RD, TRACY, CA 95304",37.77691,-121.47679
158,Natures Clover Dairy,4500 Langworth RD,Modesto,Stanislaus,95357,P.O. Box 578644,Modesto,CA,95357.0,(209) 529-7187,01/01/1947,San Joaquin River Basin,X014-X004-X004-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4500 Langworth RD, Modesto, CA 95357",37.70328,-120.8896
160,De Jager Dairy North #1,11375 S Ivy AVE,Chowchilla,Merced,93610,,,,,(209) 769-5496,01/01/1983,San Joaquin River Basin,"X075-X080-X031-XXXX, X075-X080-X035-XXXX, X075-X080-X037-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11375 S Ivy AVE, Chowchilla, CA 93610",37.12209,-120.40126
161,MB Lucky Lady,1218 W Keyes RD,Modesto,Stanislaus,95358,,,,,(209) 531-0202,01/01/1920,San Joaquin River Basin,X041-X044-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1218 W Keyes RD, Modesto, CA 95358",37.54769,-121.00967
166,Silva,12997 E Peltier RD,Acampo,San Joaquin,95220,,,,,(209) 321-1318,01/01/1900,San Joaquin River Basin,"X007-X280-XX11-XXXX, X007-X280-XX41-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12997 E Peltier RD, Acampo, CA 95220",38.19253,-121.15872
167,Pete Postma Dairy #2,1439 Albers Rd,Modesto,Stanislaus,95357,P.O. Box 1059,Empire,CA,95319.0,(209) 968-0216,01/01/1965,San Joaquin River Basin,X014-X043-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1439 Albers Rd, Modesto, CA 95357",37.66451,-120.84815
168,,619 S. Vincent Road,Turlock,Stanislaus,95380,P.O. Box 828,Hilmar,CA,95324.0,(209) 681-8255,06/01/1955,San Joaquin River Basin,"0024-0009-0016-0000, 0024-0009-0027-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"619 S. Vincent Road, Turlock, CA 95380",37.48511,-120.77834
171,Martin Land,6100 Hinds RD,Oakdale,Stanislaus,95361,,,,,(208) 847-2473,01/01/1964,San Joaquin River Basin,"X002-X012-X042-XXXX, X187-X410-X005-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6100 Hinds RD, Oakdale, CA 95361",37.82735,-120.88655
172,Art Silva Dairy #2,3701 Langworth RD,Modesto,Stanislaus,95357,P.O. Box 1046,Ripon,CA,95366.0,(209) 604-0018,01/01/1942,Sacramento River Basin,0014-0015-0002-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3701 Langworth RD, Modesto, CA 95357",37.69241,-120.89412
174,,,,,93706,,,,,(559) 233-6129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan, nan, CA 93706",36.71405,-119.81284
176,Oliveira Dairy,3991 Lander AVE,Stevinson,Merced,95374,,,,,(209) 632-9091,01/01/1940,San Joaquin River Basin,X055-X120-X050-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3991 Lander AVE, Stevinson, CA 95374",37.34387,-120.85548
178,M and A Dairy,14651 S Carlucci RD,Dos Palos,Merced,93620,,,,,(209) 387-4313,01/01/1930,San Joaquin River Basin,"X085-X032-X007-XXXX, X085-X032-X013-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14651 S Carlucci RD, Dos Palos, CA 93620",37.07216,-120.68354
188,Manuel DaSilva Dairy,15836 Steinegul RD,Escalon,San Joaquin,95320,,,,,(209) 652-8062,01/01/1950,San Joaquin River Basin,"X207-X32X-010X-XXXX, X229-X11X-021X-XXXX, X229-X12X-013X-XXXX, X229-X12X-016X-XXXX, X229-X12X-018X-XXXX, X229-X12X-020X-XXXX, X229-X12X-033X-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15836 Steinegul RD, Escalon, CA 95320",37.81961,-120.95904
190,AJR Farms (Formerly Maria Silveira 2011 Trust Dairy),10511 Ingomar Grade RD,Gustine,Merced,95322,,,,,(209) 854-0968,02/01/1970,San Joaquin River Basin,X070-X080-X051-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10511 Ingomar Grade RD, Gustine, CA 95322",37.13399,-120.95606
192,Fanelli Dairy,7689 Washington RD,Hillmar,Merced,95324,,,,,(209) 668-8097,01/01/1971,San Joaquin River Basin,X045-X190-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7689 Washington RD, Hillmar, CA 95324",37.4002,-120.90517
195,Cross View Dairy,12530 Warnerville RD,Oakdale,Stanislaus,95361,,,,,(209) 847-5872,01/01/1994,San Joaquin River Basin,X010-X019-X005-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12530 Warnerville RD, Oakdale, CA 95361",37.73991,-120.76574
198,Lucas Dairy,11204 Fulkerth RD,Turlock,Stanislaus,95380,,,,,(209) 667-5749,01/01/1938,San Joaquin River Basin,X022-X037-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11204 Fulkerth RD, Turlock, CA 95380",37.50413,-120.97948
